,ZipCode,City,Population,Growth,Age,Income per household,Number of Stations,Mean Price,Median Price,Min Price,Max Price
57,75215,Dallas TX,17654.0,0.17,39.9,16043,2,2.6339999999999995,2.6339999999999995,2.5989999999999998,2.6689999999999996
58,75216,Dallas TX,51082.0,0.03,34.4,24960,10,2.684,2.699,2.539,2.819
59,75217,Dallas TX,84944.0,0.05,27.1,31532,27,2.613814814814814,2.5989999999999998,2.559,2.699
60,75218,Dallas TX,22187.0,0.02,40.9,50652,9,2.6067777777777774,2.5989999999999998,2.499,2.679
61,75219,Dallas TX,25877.0,0.14,35.7,38588,7,2.7032857142857134,2.679,2.659,2.799
62,75220,Dallas TX,45780.0,0.08,28.6,33515,31,2.658354838709678,2.659,2.499,2.8289999999999997
63,75223,Dallas TX,15180.0,0.08,30.7,28607,8,2.75525,2.699,2.679,3.199
64,75224,Dallas TX,36043.0,0.05,28.3,33515,12,2.6506666666666665,2.6289999999999996,2.539,2.8989999999999996
65,75225,Dallas TX,23055.0,0.09,44.4,98838,3,2.8989999999999996,2.699,2.699,3.299
66,75226,Dallas TX,3533.0,0.0,31.3,38911,3,2.685666666666666,2.699,2.659,2.699
67,75227,Dallas TX,57695.0,0.04,28.7,33428,8,2.6514999999999995,2.639,2.5989999999999998,2.739
68,75228,Dallas TX,68069.0,0.02,31.0,33685,20,2.6215,2.639,2.399,2.799
69,75229,Dallas TX,32772.0,0.03,37.2,64067,12,2.666499999999999,2.694,2.5789999999999997,2.699
70,75230,Dallas TX,28782.0,0.06,44.0,51702,5,2.711,2.699,2.699,2.759
71,75231,Dallas TX,43882.0,0.15,29.6,30090,13,2.6620769230769232,2.679,2.369,2.799
72,75232,Dallas TX,30369.0,0.05,35.5,39824,13,2.6020769230769227,2.5989999999999998,2.499,2.699
73,75233,Dallas TX,14439.0,0.02,30.9,36869,4,2.549,2.539,2.489,2.6289999999999996
74,75234,Dallas TX,29560.0,0.02,36.7,50386,14,2.678999999999999,2.699,2.5989999999999998,2.799
75,75235,Dallas TX,17685.0,0.02,30.9,32030,7,2.681857142857143,2.659,2.639,2.799
76,75236,Dallas TX,16927.0,0.05,27.7,32957,7,2.636142857142857,2.659,2.499,2.799
77,75237,Dallas TX,18567.0,0.07,28.1,26270,8,2.5765000000000002,2.5989999999999998,2.399,2.699
78,75238,Dallas TX,31739.0,0.03,33.3,43294,11,2.626272727272727,2.659,2.499,2.679
79,75240,Dallas TX,27604.0,0.11,30.0,41521,7,2.679,2.679,2.6489999999999996,2.7089999999999996
80,75241,Dallas TX,29553.0,0.08,34.2,30300,9,2.5512222222222225,2.559,2.499,2.6289999999999996
81,75243,Dallas TX,63755.0,0.13,31.5,37149,18,2.677888888888889,2.679,2.639,2.699
82,75244,Dallas TX,13453.0,0.01,36.6,51074,5,2.8009999999999997,2.799,2.699,3.009
83,75246,Dallas TX,2975.0,0.06,32.5,21468,2,2.639,2.639,2.5989999999999998,2.679
84,75247,Dallas TX,254.0,-0.84,57.0,15208,10,2.7089999999999996,2.699,2.639,2.8989999999999996
85,75248,Dallas TX,35503.0,0.05,42.5,69809,5,2.665,2.659,2.659,2.679
86,75249,Dallas TX,14304.0,0.06,31.7,51949,2,2.6239999999999997,2.6239999999999997,2.489,2.759
87,75251,Dallas TX,2661.0,0.12,29.8,66755,2,2.554,2.554,2.359,2.7489999999999997
88,75252,Dallas TX,25720.0,0.06,36.7,58257,7,2.6904285714285714,2.6689999999999996,2.6489999999999996,2.799
89,75253,Dallas TX,21059.0,0.12,27.8,34537,5,2.5829999999999997,2.589,2.559,2.5989999999999998
91,75287,Dallas TX,54115.0,0.09,31.3,45919,17,2.6660588235294114,2.6689999999999996,2.6189999999999998,2.699
92,76051,Grapevine TX,48106.0,0.03,37.5,71852,25,2.6737999999999986,2.699,2.439,2.799
93,76065,Midlothian TX,30947.0,0.06,35.6,60945,16,2.611499999999999,2.5989999999999998,2.509,2.699
