county,ded,townland_or_street,townland_to_map_url,townland_to_map
Antrim,Carncastle,Minnis_South,http://www.townlands.ie/antrim/glenarm-upper/carncastle/minnis-south,Minnis_South
Antrim,Glenarm,Ault,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/ault,Ault
Antrim,Glenarm,Deer_Park_Farms,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/deer-park-farms,Deer_Park_Farms
Antrim,Glenarm,Deer_Park_Great,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/great-deer-park,Deer_Park_Great
Antrim,Glenarm,Deer_Park_Little,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/little-deer-park,Deer_Park_Little
Antrim,Glenarm,Dunarragan,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/dunarragan,Dunarragan
Antrim,Glenarm,Glenarm_Village_Altmore_Street,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/town-parks,Town_Parks
Antrim,Glenarm,Glenarm_Village_Castle_Street,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/town-parks,Town_Parks
Antrim,Glenarm,Glenarm_Village_Mark_Street,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/town-parks,Town_Parks
Antrim,Glenarm,Glenarm_Village_Toberwine_Street,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/town-parks,Town_Parks
Antrim,Glenarm,Glenarm_Village_Vennel_Street,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/town-parks,Town_Parks
Antrim,Glenarm,Glenarm_Village_Harbour,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/town-parks,Town_Parks
Antrim,Glenarm,Town_Parks,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/town-parks,Town_Parks
Antrim,Glenarm,Old_Church,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/old-church,Old_Church
Antrim,Glenarm,Owencloghy,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/owencloughy,Owencloghy
Antrim,Glencloy,Aughareamlagh,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/aughareamlagh,Aughareamlagh
Antrim,Glencloy,Ballyvaddy,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/ballyvaddy,Ballyvaddy
Antrim,Glencloy,Carnlough_Village_Harphall,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/harphall,Harphall
Antrim,Glencloy,Harphall,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/harphall,Harphall
Antrim,Glencloy,Carnlough_Village_Marine_Road,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/harphall,Harphall
Antrim,Glencloy,Carnlough_Village_Whitehill_Road,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/harphall,Harphall
Antrim,Glencloy,Cregattan_Part_of_Galdanagh,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/cregcattan-part-of-galdanagh,Cregattan_Part_of_Galdanagh
Antrim,Glencloy,Druminagh,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/druminagh,Druminagh
Antrim,Glencloy,Galdanagh,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/galdanagh,Galdanagh
Antrim,Glencloy,Stony_Hill,http://www.townlands.ie/antrim/glenarm-lower/tickmacrevan/stony-hill,Stony_Hill
