date,open,high,low,close,volume
2018-02-26,10.0907,10.288,10.0531,10.2316,27157756
2018-02-27,10.2692,10.3256,9.9591,9.9685,43502012
2018-02-28,10.0343,10.1377,9.931,9.9685,41321429
2018-03-01,10.0061,10.0437,9.5833,9.6679,75841414
2018-03-02,9.6209,9.79,9.527,9.7712,60491864
2018-03-05,9.6867,9.9873,9.6773,9.9403,44021329
2018-03-06,10.0061,10.0343,9.837,9.9873,30978946
2018-03-07,9.8746,9.9967,9.7994,9.9873,30046598
2018-03-08,10.0061,10.0343,9.8464,9.9685,26947958
2018-03-09,9.9873,10.0813,9.931,10.0813,26684375
2018-03-12,10.0437,10.194,10.0343,10.1564,33800918
2018-03-13,10.1846,10.3162,10.0813,10.1283,44456812
2018-03-14,10.5698,10.7484,10.3444,10.3537,91985319
2018-03-15,10.3819,10.5698,10.288,10.4007,47645277
2018-03-16,10.4477,10.5417,10.3913,10.4759,80684224
2018-03-19,10.4759,10.4947,10.2128,10.3444,63122538
2018-03-20,10.3819,10.4571,10.3068,10.3256,45612813
2018-03-21,10.335,10.5088,10.2692,10.4289,38550957
2018-03-22,10.335,10.3913,10.0813,10.1001,51280905
2018-03-23,10.1377,10.194,9.8746,9.9216,39950867
2018-03-26,10.0907,10.2128,10.0343,10.1752,52325512
2018-03-27,10.194,10.2598,10.0719,10.1752,40677320
2018-03-28,10.1752,10.288,10.0813,10.2034,42263662
2018-03-29,10.2692,10.4571,10.2551,10.4101,39863962
2018-04-02,10.3913,10.4195,10.0531,10.2034,43598094
2018-04-03,10.3444,10.5041,10.241,10.4759,42523917
2018-04-04,10.2128,10.6732,10.147,10.645,44834639
2018-04-05,10.6544,10.692,10.5511,10.6638,28755606
2018-04-06,10.598,10.6638,10.4007,10.5041,31920686
2018-04-09,10.5698,10.692,10.5229,10.5698,36462658
2018-04-10,10.7484,10.8517,10.7202,10.7577,44005015
2018-04-11,10.692,10.7953,10.6168,10.739,32979038
2018-04-12,10.8047,10.8423,10.5698,10.6262,47133732
2018-04-13,10.6638,10.7014,10.5511,10.598,34598783
2018-04-16,10.6732,10.7577,10.5886,10.692,32803268
2018-04-17,10.739,10.7577,10.6168,10.692,30906803
2018-04-18,10.692,10.7859,10.6168,10.645,46226082
2018-04-19,10.645,10.7111,10.3308,10.4355,49154173
2018-04-20,10.4831,10.5022,10.2641,10.3022,44930027
2018-04-23,10.3213,10.5117,10.3118,10.5117,31936522
2018-04-24,10.5212,10.6355,10.407,10.4355,39624986
2018-04-25,10.4355,10.626,10.3498,10.5784,39985788
2018-04-26,10.8735,10.9783,10.7497,10.883,80676755
2018-04-27,10.8545,11.0068,10.8354,10.9402,33375943
2018-04-30,10.9783,11.1639,10.6831,10.7021,66090895
2018-05-01,10.7117,10.8069,10.5688,10.7212,61430446
2018-05-02,10.7212,10.7259,10.5879,10.6736,41899467
2018-05-03,10.6355,10.6736,10.4451,10.664,38907404
2018-05-04,10.626,10.864,10.5593,10.8164,32043468
2018-05-07,10.8164,10.8926,10.7688,10.7973,27510279
2018-05-08,10.7783,10.8259,10.6974,10.7307,25754109
2018-05-09,10.6736,10.7402,10.4927,10.5307,43731958
2018-05-10,10.5117,10.7117,10.4927,10.6736,32023835
2018-05-11,10.6831,10.7069,10.626,10.6545,19837675
2018-05-14,10.6926,10.7497,10.6355,10.645,27903121
2018-05-15,10.5688,10.7117,10.5307,10.6831,26950114
2018-05-16,10.6736,10.8545,10.664,10.8545,28976692
2018-05-17,10.8545,10.9306,10.8354,10.9116,20741087
2018-05-18,10.8926,10.9211,10.7593,10.7878,23893731
2018-05-21,10.8735,10.9973,10.845,10.9592,31011916
2018-05-22,11.0259,11.0782,10.9592,10.9687,22360885
2018-05-23,10.9497,10.9973,10.7878,10.8926,23595004
2018-05-24,10.9021,11.0925,10.8926,11.0639,34876334
2018-05-25,11.0068,11.0497,10.9211,10.9592,19337470
2018-05-29,11.0449,11.0639,10.8164,10.8926,31324274
2018-05-30,10.9783,11.0544,10.9211,10.9973,25554593
2018-05-31,11.0925,11.1734,10.8164,10.9973,61563249
2018-06-01,11.1116,11.2068,11.0544,11.1496,35406189
2018-06-04,11.1782,11.2211,11.1306,11.1782,25141346
2018-06-05,11.1782,11.2996,11.1211,11.2639,31036704
2018-06-06,11.302,11.4258,11.2544,11.3972,31110458
2018-06-07,11.3972,11.5686,11.3877,11.4543,47314073
2018-06-08,11.4639,11.54,11.4258,11.521,28371881
2018-06-11,11.521,11.5686,11.4448,11.4543,30398078
2018-06-12,11.4924,11.5686,11.4543,11.5305,51395448
2018-06-13,11.521,11.521,11.3877,11.4448,28406733
2018-06-14,11.4258,11.4353,11.2734,11.321,34523019
2018-06-15,11.2734,11.4543,11.2353,11.3115,56326835
2018-06-18,11.2544,11.4639,11.2449,11.4162,32706527
2018-06-19,11.2544,11.321,11.1116,11.321,40064785
2018-06-20,11.3972,11.4734,11.2639,11.302,31964792
2018-06-21,11.2353,11.2638,11.083,11.1496,33316702
2018-06-22,11.1877,11.302,11.0639,11.0925,38207303
2018-06-25,11.0735,11.1116,10.8354,10.9497,36101893
2018-06-26,11.0068,11.0735,10.9402,10.9687,36627672
2018-06-27,10.9878,11.083,10.8545,10.8735,27240781
2018-06-28,10.8259,10.8545,10.6164,10.7402,43836444
2018-06-29,10.7783,10.8259,10.5022,10.5403,44718473
2018-07-02,10.4927,10.5736,10.3879,10.5688,37892751
2018-07-03,10.5688,10.6164,10.4165,10.4641,16544777
2018-07-05,10.5688,10.6069,10.4927,10.5212,32008544
2018-07-06,10.5117,10.5688,10.3974,10.5307,25671874
2018-07-09,10.5688,10.7212,10.5022,10.664,23916802
2018-07-10,10.664,10.7212,10.6355,10.7117,21231537
2018-07-11,10.6164,10.6355,10.5212,10.5403,30030119
2018-07-12,10.5688,10.6069,10.4736,10.5212,27025237
2018-07-13,10.4927,10.5212,10.3879,10.4546,36567189
2018-07-16,10.426,10.4451,10.2451,10.3308,46156833
2018-07-17,10.2832,10.3784,10.2832,10.3403,37584265
2018-07-18,10.3308,10.3736,10.2927,10.3498,36420018
2018-07-19,10.3689,10.3784,10.2546,10.3022,40308773
2018-07-20,10.3119,10.3505,10.1477,10.196,41673254
2018-07-23,10.196,10.2057,10.0608,10.1091,34941983
2018-07-24,10.1477,10.3698,10.1381,10.2057,47302950
2018-07-25,9.9643,10.2057,9.7712,10.1574,92610535
2018-07-26,9.7905,9.8098,9.5008,9.5491,103893039
2018-07-27,9.6167,9.7036,9.5684,9.5877,46178701
2018-07-30,9.6167,9.7519,9.5877,9.7229,35877009
2018-07-31,9.7615,9.7615,9.6553,9.6939,38026871
2018-08-01,9.7133,9.7311,9.4815,9.5588,44126692
2018-08-02,9.5588,9.636,9.5008,9.5781,40318865
2018-08-03,9.5877,9.7133,9.5877,9.6939,25925122
2018-08-06,9.6553,9.7036,9.6264,9.6843,22247882
2018-08-07,9.6939,9.7519,9.6746,9.7326,27961231
2018-08-08,9.7036,9.7519,9.6939,9.7036,22601602
2018-08-09,9.7133,9.7229,9.5588,9.5684,35682617
2018-08-10,9.5684,9.5684,9.385,9.4043,39180474
2018-08-13,9.4043,9.4139,9.0953,9.1339,66586182
2018-08-14,9.1822,9.2836,9.1243,9.1726,37657351
2018-08-15,9.1339,9.1726,9.0277,9.1243,36298597
2018-08-16,9.1726,9.2691,9.1629,9.1822,28857667
2018-08-17,9.2015,9.2691,9.1339,9.2208,32742936
2018-08-20,9.2305,9.4043,9.2305,9.385,25252486
2018-08-21,9.4332,9.5588,9.356,9.5201,46413897
2018-08-22,9.4526,9.4815,9.3464,9.356,30803675
2018-08-23,9.3367,9.356,9.2498,9.2981,31511844
2018-08-24,9.3174,9.3657,9.2788,9.3464,18380040
2018-08-27,9.4139,9.6939,9.3946,9.6457,49769258
2018-08-28,9.7326,9.7422,9.607,9.665,33845494
2018-08-29,9.665,9.6746,9.5588,9.6264,37336431
2018-08-30,9.5298,9.5733,9.3367,9.3657,48539347
2018-08-31,9.3077,9.3464,9.076,9.1532,76424884
2018-09-04,9.2015,9.2498,9.0374,9.1436,54111109
2018-09-05,9.1436,9.2208,8.9988,9.1629,44561879
2018-09-06,9.1532,9.2208,9.076,9.105,29519107
2018-09-07,9.0857,9.1629,8.9312,8.9505,51229915
2018-09-10,8.9891,9.1629,8.9794,9.0567,30419066
2018-09-11,9.0277,9.0374,8.9022,8.9891,27158381
2018-09-12,8.9891,9.0953,8.9601,9.0181,25450013
2018-09-13,9.0567,9.0857,8.9891,9.047,29315671
2018-09-14,9.0567,9.1532,9.0374,9.1243,30013336
2018-09-17,9.1098,9.2643,9.105,9.2208,29544428
2018-09-18,9.2112,9.2788,9.1532,9.2498,57055398
2018-09-19,9.2788,9.4912,9.2788,9.4429,40111485
2018-09-20,9.4912,9.5877,9.3753,9.4719,46314358
2018-09-21,9.5008,9.5974,9.4429,9.5105,74488637
2018-09-24,9.4429,9.5105,9.1919,9.2595,43170827
2018-09-25,9.2015,9.2305,9.047,9.0663,44406116
2018-09-26,9.0567,9.0857,8.9505,8.9505,58597487
2018-09-27,8.9794,9.0084,8.8829,8.9119,57272192
2018-09-28,8.9022,8.9601,8.7767,8.9312,30987233
2018-10-01,9.105,9.1146,8.9794,8.9988,44864717
2018-10-02,8.9505,9.0181,8.8636,8.8829,41806359
2018-10-03,8.9505,8.9891,8.8153,8.8153,47023058
2018-10-04,8.8153,8.9022,8.7767,8.8346,38889619
2018-10-05,8.8346,8.9022,8.7863,8.8057,36952234
2018-10-08,8.7863,8.9601,8.7767,8.9408,43657683
2018-10-09,8.9119,8.9891,8.6415,8.6415,58356912
2018-10-10,8.6415,8.6705,8.5063,8.516,54104073
2018-10-11,8.516,8.6801,8.4581,8.5063,66170847
2018-10-12,8.6415,8.6415,8.2553,8.3422,59308503
2018-10-15,8.3712,8.545,8.3615,8.5063,40183227
2018-10-16,8.5643,8.5836,8.4291,8.4967,36771962
2018-10-17,8.4967,8.5546,8.3422,8.4581,48795137
2018-10-18,8.4388,8.4581,8.207,8.2167,59669220
2018-10-19,8.0332,8.2312,7.9077,8.207,59831126
2018-10-22,8.2365,8.3053,8.1284,8.266,39803505
2018-10-23,8.1579,8.4921,8.0891,8.4429,55443298
2018-10-24,8.3545,8.4478,8.0301,8.0399,58895107
2018-10-25,8.3741,8.8459,8.3151,8.8361,90399170
2018-10-26,8.8066,8.9049,8.7083,8.8262,100639822
2018-10-29,9.1997,9.4258,9.013,9.1211,92275144
2018-10-30,9.1506,9.3963,9.1113,9.298,58061997
2018-10-31,9.4553,9.5044,9.2685,9.3865,68507097
2018-11-01,9.3766,9.3865,9.1014,9.1309,59794356
2018-11-02,9.1997,9.2882,9.1014,9.2194,48499166
2018-11-05,9.2194,9.4061,9.1899,9.3668,41274267
2018-11-06,9.298,9.4061,9.2489,9.3766,40928647
2018-11-07,9.4356,9.4356,9.2882,9.4356,37347419
2018-11-08,9.416,9.4848,9.2784,9.298,55810120
2018-11-09,9.2194,9.6322,9.1113,9.2194,52203593
2018-11-12,9.2194,9.416,9.2096,9.3275,36317186
2018-11-13,9.3668,9.5044,9.3078,9.3766,33097995
2018-11-14,9.4651,9.5003,9.2685,9.3766,46677594
2018-11-15,9.3373,9.3668,8.9638,9.1506,57170119
2018-11-16,9.1211,9.1506,8.8262,8.895,54582518
2018-11-19,8.8656,9.1997,8.8066,9.0916,56292462
2018-11-20,8.9442,9.0621,8.8557,8.9049,35160306
2018-11-21,8.895,9.0425,8.8262,8.954,25882740
2018-11-23,8.9147,9.0621,8.8754,8.9737,13520848
2018-11-26,9.072,9.3668,9.013,9.239,46304425
2018-11-27,9.2096,9.2685,9.0916,9.1211,34283203
2018-11-28,9.1113,9.2784,9.013,9.2489,33199483
2018-11-29,9.2096,9.2784,9.1014,9.2096,29207626
2018-11-30,9.2096,9.3177,9.1997,9.2489,36269456
2018-12-03,9.5437,9.6813,9.4356,9.4356,64643017
2018-12-04,9.3865,9.4356,9.0228,9.0228,57930317
2018-12-06,8.9638,8.9638,8.7673,8.8656,53963586
2018-12-07,8.8656,8.9737,8.6493,8.669,43534810
2018-12-10,8.6788,8.6985,8.2365,8.3741,56499741
2018-12-11,8.5707,8.6493,8.3545,8.3938,42294523
2018-12-12,8.4921,8.5805,8.4429,8.4921,40602732
2018-12-13,8.5215,8.551,8.3102,8.3545,34200443
2018-12-14,8.3741,8.5314,8.3151,8.3741,35613263
2018-12-17,8.3348,8.5707,8.266,8.3545,44469948
2018-12-18,8.4036,8.5314,8.266,8.325,38262962
2018-12-19,8.3151,8.5019,8.1284,8.1775,75272899
2018-12-20,8.1874,8.2729,8.0399,8.1186,58926152
2018-12-21,8.0792,8.2562,7.9023,7.9122,57542256
2018-12-24,7.8728,7.8728,7.4797,7.4994,38709511
2018-12-26,7.5976,7.7254,7.2831,7.7156,58809955
2018-12-27,7.6861,7.7156,7.4011,7.7156,49812964
2018-12-28,7.6959,7.9023,7.6271,7.6763,47331686
2018-12-31,7.7156,7.7254,7.3716,7.519,57816044
2019-01-02,7.4011,7.8827,7.3519,7.7647,47494361
2019-01-03,7.8335,7.8532,7.6468,7.6468,39172395
2019-01-04,7.7746,7.981,7.7156,7.9416,43039807
2019-01-07,7.9711,8.2218,7.8876,8.148,40729353
2019-01-08,8.2758,8.3938,8.207,8.2267,45643969
2019-01-09,8.3053,8.6198,8.2169,8.5707,48404884
2019-01-10,8.5609,8.6198,8.3053,8.5215,39490422
2019-01-11,8.6198,8.7771,8.551,8.669,41559875
2019-01-14,8.6493,8.9049,8.61,8.8361,44833842
2019-01-15,8.8656,8.8754,8.6002,8.6886,65311702
2019-01-16,8.5314,8.6198,8.1186,8.148,73869859
2019-01-17,8.1284,8.2955,8.0694,8.2169,56722604
2019-01-18,8.2463,8.4527,8.1874,8.4331,51127860
2019-01-22,8.3938,8.4577,8.3151,8.3545,47182620
2019-01-23,8.3938,8.3938,8.1382,8.1972,45196860
2019-01-24,8.1775,8.5314,8.0792,8.4527,79516367
2019-01-25,8.5903,8.8066,8.5805,8.7083,53130148
2019-01-28,8.6493,8.6493,8.4331,8.5117,42116304
2019-01-29,8.5609,8.6395,8.4724,8.61,30485016
2019-01-30,8.665,8.72,8.52,8.71,29906134
2019-01-31,8.62,8.82,8.6,8.8,39389094
2019-02-01,8.77,8.81,8.62,8.72,34124005
2019-02-04,8.7,8.7,8.59,8.7,28855569
2019-02-05,8.68,8.76,8.65,8.75,26166848
2019-02-06,8.79,8.9,8.68,8.72,32644299
2019-02-07,8.62,8.62,8.29,8.31,55161837
2019-02-08,8.29,8.41,8.16,8.39,38650090
2019-02-11,8.41,8.44,8.29,8.33,27403546
2019-02-12,8.38,8.47,8.38,8.46,26235089
2019-02-13,8.45,8.66,8.39,8.41,27182886
2019-02-14,8.38,8.47,8.32,8.42,23569872
2019-02-15,8.49,8.56,8.41,8.54,58080330
2019-02-19,8.53,8.845,8.53,8.83,37929175
2019-02-20,8.83,8.98,8.82,8.94,55316868
2019-02-21,8.94,8.955,8.7,8.71,44730351
2019-02-22,8.73,8.75,8.56,8.71,40947503
2019-02-25,8.77,8.85,8.75,8.76,56615428
2019-02-26,8.75,8.94,8.72,8.88,38348838
2019-02-27,8.83,8.91,8.78,8.78,34093320
2019-02-28,8.77,8.79,8.6,8.77,43960541
2019-03-01,8.85,8.89,8.71,8.79,37699506
2019-03-04,8.83,8.97,8.76,8.81,46196859
2019-03-05,8.8,8.81,8.7,8.77,40852648
2019-03-06,8.75,8.78,8.56,8.58,50378587
2019-03-07,8.56,8.57,8.345,8.48,54285995
2019-03-08,8.4,8.47,8.34,8.42,43766799
2019-03-11,8.46,8.63,8.45,8.61,36875290
2019-03-12,8.65,8.7,8.55,8.57,37805025
2019-03-13,8.59,8.65,8.5,8.53,49018694
2019-03-14,8.52,8.55,8.4,8.41,36307868
2019-03-15,8.42,8.47,8.37,8.43,66555519
2019-03-18,8.45,8.57,8.42,8.57,37198328
2019-03-19,8.61,8.87,8.61,8.7,57293608
2019-03-20,8.67,8.67,8.48,8.51,54539726
2019-03-21,8.5,8.69,8.49,8.69,46843085
