,name,resell_price,full
2400,Faces Tee,45,Supreme FacesTee Bright Orange
2544,Polartec® Headband,45,Supreme PolartecHeadband Yellow
2569,Supreme®/Spitfire® Classic Wheels (Set of 4),45,Supreme Spitfire Classic Wheels (Set of 4) White 53MM
1596,Bouclé Camp Cap,46,Supreme Boucle Camp (SS18) Cap Pink
1853,Mike Kelley/Supreme The Empire State Building Tee,46,Supreme Mike Kelley The Empire State Building Tee Dark Green
2162,Life Sucks Die Tee,46,Supreme Life Sucks Die Tee Bright Blue
2255,Guts Tee,46,Supreme GutsTee Bright Blue
2307,Bombay Tee,46,Supreme BombayTee White
2398,Faces Tee,46,Supreme FacesTee Heather Grey
2402,Faces Tee,46,Supreme FacesTee Slate
2537,Polartec® Headband,46,Supreme PolartecHeadband Black
1662,Marvin Gaye Tee,47,Supreme Marvin GayeTee Yellow
1753,Mike Kelley/Supreme Hiding From Indians Tee,47,Supreme Mike Kelley Hiding From Indians Tee Slate
1854,Mike Kelley/Supreme The Empire State Building Tee,47,Supreme Mike Kelley The Empire State Building Tee Burgundy
1855,Mike Kelley/Supreme The Empire State Building Tee,47,Supreme Mike Kelley The Empire State Building Tee Slate
1872,Reflective Camo Camp Cap,47,Supreme LACOSTE Reflective Grid Nylon Camp Cap Green
1977,Luden's® Tee,47,Supreme Luden'sTee Heather Grey
1979,Luden's® Tee,47,Supreme Luden'sTee Purple
2055,Heathered Earflap Beanie,47,Supreme Heathered Earflip Beanie Oatmeal
2259,Guts Tee,47,Supreme GutsTee Terra Cotta
2312,Bombay Tee,47,Supreme BombayTee Bright Yellow
2380,Payphone Tee,47,Supreme PayphoneTee Heather Grey
2556,Bright Stripe Beanie,47,Supreme Bright Stripe Beanie Red
1661,Marvin Gaye Tee,48,Supreme Marvin GayeTee Red
1673,Polartec® Scarf,48,Supreme PolartecScarf Navy
1749,Mike Kelley/Supreme Hiding From Indians Tee,48,Supreme Mike Kelley Hiding From Indians Tee Dark Green
1754,Mike Kelley/Supreme Hiding From Indians Tee,48,Supreme Mike Kelley Hiding From Indians Tee Bright Orange
1830,Shaolin 6-Panel,48,Supreme Shaolin6-Panel Tan
2156,Life Sucks Die Tee,48,Supreme Life Sucks Die Tee Heather Grey
2159,Life Sucks Die Tee,48,Supreme Life Sucks Die Tee Terra Cotta
2277,Fuck You Tee,48,Supreme Fuck YouTee Bright Blue
2336,System Tee,48,Supreme SystemTee Ash Grey
2376,Payphone Tee,48,Supreme PayphoneTee Black
2383,Payphone Tee,48,Supreme PayphoneTee Bright Orange
2540,Polartec® Headband,48,Supreme PolartecHeadband Navy
2565,Supreme®/The North Face® Expedition Travel Wallet,48,Supreme The North Face Expedition Travel Wallet Sulphur
2568,Supreme®/Spitfire® Classic Wheels (Set of 4),48,Supreme Spitfire Classic Wheels (Set of 4) Red 51MM
135,Supreme®/The North Face® Expedition Fleece Jacket,49,Supreme The North Face Expedition Travel Wallet Black
1655,Marvin Gaye Tee,49,Supreme Marvin GayeTee White
1658,Marvin Gaye Tee,49,Supreme Marvin GayeTee Heather Grey
1682,Strap Logo 6-Panel,49,Supreme Strap Logo6-Panel Black
1789,Military Camp Cap,49,Supreme Military Camp Cap Red
1865,Reflective Camo Camp Cap,49,Supreme LACOSTE Reflective Grid Nylon Camp Cap Black
1954,Chris Cunningham Chihuahua Tee,49,Supreme Chris Cunningham Chihuahua Tee Pale Mint
1980,Luden's® Tee,49,Supreme Luden'sTee Yellow
2041,Preach Mesh Back 5-Panel,49,Supreme Preach Mesh Back 5-Panel Camo
2054,Heathered Earflap Beanie,49,Supreme Heathered Earflip Beanie Red
2073,Supreme®/Thermos® Stainless King Food Jar + Spoon,49,Supreme Thermos Stainless King Food Jar and Spoon White
2170,Bottle Cap Tee,49,Supreme Bottle CapTee White
2176,Bottle Cap Tee,49,Supreme Bottle CapTee Olive
2377,Payphone Tee,49,Supreme PayphoneTee White
2536,Polartec® Headband,49,Supreme PolartecHeadband Natural
2563,Supreme®/The North Face® Expedition Travel Wallet,49,Supreme The North Face Expedition Travel Wallet Black
1213,Paneled L/S Top,50,Supreme Paneled L/STop Red
1490,Diamond Stitch Crusher,50,Supreme Diamond Stitch Crusher Beige
1650,Tonal Tape Camp Cap,50,Supreme Tonal Tape Camp Cap Navy
