date,open,high,low,close,volume
2018-01-02,39.2299,39.8292,39.1443,39.7626,6934570
2018-01-03,40.1526,40.8566,40.1431,40.7329,14591587
2018-01-04,40.9897,42.0932,40.9136,41.9886,17298680
2018-01-05,42.331,42.4642,41.8173,41.8649,9643317
2018-01-08,41.8934,42.4166,41.3989,42.0647,13099632
2018-01-09,42.1503,42.4166,41.6081,41.9029,7768103
2018-01-10,41.7032,41.9886,40.5331,40.9041,18281520
2018-01-11,41.1705,42.1122,41.0516,42.0361,11245753
2018-01-12,41.9981,42.5213,41.532,41.922,14914573
2018-01-16,42.9018,43.3013,41.6176,42.0361,20169295
2018-01-17,41.8649,42.1122,41.2846,41.8839,15855650
2018-01-18,42.0266,42.0361,41.5129,41.7222,11868110
2018-01-19,41.9029,41.941,40.9422,41.0468,14470776
2018-01-22,41.0563,41.3037,40.7329,41.18,19562094
2018-01-23,41.2276,41.3227,40.8138,41.2656,14127560
2018-01-24,41.3798,42.2359,41.3322,42.0076,11321705
2018-01-25,42.293,42.312,40.8803,41.0563,11385995
2018-01-26,41.2085,41.4416,40.8946,41.3702,9131233
2018-01-29,41.3512,41.6461,40.8874,40.9232,8177531
2018-01-30,40.7424,41.1134,40.4475,40.6187,8459713
2018-01-31,40.6948,40.8566,40.086,40.3429,19781173
2018-02-01,40.067,40.5236,39.9053,40.3619,9629833
2018-02-02,40.1621,40.2097,38.8589,39.0016,13982144
2018-02-05,38.9826,39.639,37.5842,37.6128,19660620
2018-02-06,38.1074,40.1717,38.0504,39.8197,26988259
2018-02-07,39.7626,41.4368,39.6199,40.3239,19402866
2018-02-08,40.3904,40.6283,38.7543,38.7638,18035384
2018-02-09,39.1538,39.9243,38.2691,39.4392,19597996
2018-02-12,39.9053,40.5426,39.5819,39.9529,19392043
2018-02-13,39.6675,40.0195,39.3536,39.3821,8937154
2018-02-14,39.0301,39.8673,38.935,39.7721,10271608
2018-02-15,40.0099,40.1526,39.3774,39.8102,9715834
2018-02-16,39.8102,40.2192,39.0016,39.0872,14871775
2018-02-20,38.9065,39.3155,38.6116,38.7828,7814571
2018-02-21,38.7638,39.287,38.5356,38.5831,9098549
2018-02-22,38.6782,39.1919,38.526,38.916,8805943
2018-02-23,39.0492,39.1348,38.6021,38.916,6424209
2018-02-26,39.0777,39.5914,38.7638,39.5153,9397071
2018-02-27,39.4677,39.5153,38.1645,38.2121,12738834
2018-02-28,37.6889,38.193,37.3987,37.432,23145222
2018-03-01,37.6603,37.6603,35.5866,35.9481,26183081
2018-03-02,35.6437,35.7768,34.8066,35.6056,24060510
2018-03-05,35.5105,36.0527,35.3012,35.9005,12011053
2018-03-06,36.1669,36.2238,35.7103,36.0812,12168468
2018-03-07,35.5676,35.9956,35.3488,35.9005,15052041
2018-03-08,36.1696,36.4482,35.766,36.3618,13096731
2018-03-09,36.3714,36.5924,36.1888,36.3618,12272186
2018-03-12,36.3906,36.5059,36.1119,36.3521,11347249
2018-03-13,36.4867,37.0343,36.3906,36.5251,12406428
2018-03-14,36.9768,37.1017,36.1792,36.2176,13364043
2018-03-15,36.4867,36.5059,36.1215,36.3714,8140097
2018-03-16,36.4386,36.6596,36.2176,36.4579,10305037
2018-03-19,36.4482,36.4963,35.1125,35.5642,12103147
2018-03-20,35.6795,35.8044,35.3047,35.4489,8494780
2018-03-21,35.7083,36.5347,35.6507,36.1119,11568419
2018-03-22,35.7756,35.8717,34.8531,34.93,15155039
2018-03-23,34.9972,35.1606,33.7576,33.7961,13234021
2018-03-26,34.536,34.6417,33.9066,34.584,9320238
2018-03-27,34.6129,34.6225,33.1522,33.5078,17673329
2018-03-28,33.6423,34.3918,33.5366,34.0843,17905723
2018-03-29,34.4303,35.0981,34.2957,34.9204,13049780
2018-04-02,34.6897,34.8435,33.8537,34.363,13909058
2018-04-03,35.3624,35.8909,34.9684,35.4969,15833314
2018-04-04,34.6032,36.6404,34.5456,36.5443,17014051
2018-04-05,36.7557,36.9768,36.4098,36.5155,11885381
2018-04-06,36.4771,36.6693,35.7468,36.208,14731498
2018-04-09,36.7846,36.996,36.3329,36.3521,13430901
2018-04-10,37.0921,37.8128,36.8903,37.5437,15547390
2018-04-11,37.2074,37.7551,36.9864,37.4764,8388853
2018-04-12,37.7359,37.9473,37.2554,37.3131,7896394
2018-04-13,37.5918,37.8416,37.0584,37.217,6118634
2018-04-16,37.4476,37.8791,37.1593,37.6398,5064868
2018-04-17,38.0914,38.101,37.5533,37.6878,5460704
2018-04-18,37.7071,38.1203,37.3803,37.4092,6095373
2018-04-19,37.1978,37.39,35.963,36.2945,10230013
2018-04-20,36.2753,36.5251,35.8909,36.1407,8698518
2018-04-23,36.0254,36.4771,35.9678,36.2176,7308626
2018-04-24,36.4482,36.6789,36.0735,36.4482,9285765
2018-04-25,36.2561,36.7077,36.035,36.6212,7892957
2018-04-26,36.1215,36.7846,35.3912,36.7557,16562383
2018-04-27,36.6693,36.7173,36.0254,36.1792,8660356
2018-04-30,36.4002,36.5828,35.3047,35.3047,11967311
2018-05-01,35.3239,35.5161,34.4879,34.9972,11381238
2018-05-02,35.0549,35.2663,34.7378,34.7858,9440678
2018-05-03,34.584,34.757,33.9018,34.7378,15742629
2018-05-04,34.7378,35.3432,34.4687,35.2759,6639004
2018-05-07,35.199,35.3336,34.8675,34.9204,9197419
2018-05-08,34.9588,35.1798,34.6993,34.9107,8364406
2018-05-09,34.9684,35.3047,34.56,34.8531,7609467
2018-05-10,35.0357,35.766,34.9972,35.7083,6814738
2018-05-11,35.6603,35.7948,35.3432,35.4489,4856741
2018-05-14,35.6122,35.6218,35.1318,35.199,6393345
2018-05-15,34.978,35.5161,34.978,35.4969,6506941
2018-05-16,35.5257,36.5539,35.5227,36.5443,8193850
2018-05-17,36.4867,36.972,36.2779,36.8038,9572739
2018-05-18,36.775,36.8999,36.2464,36.3137,5576296
2018-05-21,36.6693,36.8374,36.4963,36.602,6227678
2018-05-22,37.0728,37.2554,36.7605,36.7846,6990449
2018-05-23,36.6885,36.6981,35.9966,36.3714,8794265
2018-05-24,36.5155,37.0825,36.4146,36.8903,8466101
2018-05-25,36.7557,36.8999,36.6213,36.8038,5247329
2018-05-29,36.5251,36.5636,35.814,35.9197,12342575
2018-05-30,36.035,36.3906,36.0158,36.3521,11821553
2018-05-31,40.0229,41.0992,39.6578,41.0319,59937479
2018-06-01,41.301,41.6229,40.6764,41.5124,24461816
2018-06-04,41.5508,42.137,41.4739,42.0697,12938986
2018-06-05,41.9063,42.0601,41.6517,41.7142,12018545
2018-06-06,41.9544,42.2811,41.6661,42.2138,18026111
2018-06-07,42.1751,43.0087,42.1751,42.6597,15330902
2018-06-08,42.6307,42.9699,42.5725,42.8924,8549271
2018-06-11,42.9408,43.5127,42.9311,43.474,14061378
2018-06-12,43.4837,43.5709,42.8082,42.8245,9933236
2018-06-13,42.7664,43.0959,42.4853,43.0862,11233122
2018-06-14,43.0281,43.0378,42.0878,42.2332,10109160
2018-06-15,41.9521,43.6194,41.4481,42.5628,23838541
2018-06-18,42.2623,42.7809,42.0345,42.6016,10806701
2018-06-19,41.7486,41.8649,40.5951,40.9634,18272914
2018-06-20,41.2639,41.5159,40.5078,40.6629,9536074
2018-06-21,39.8778,40.5563,39.5531,39.8584,13913342
2018-06-22,40.1395,40.4691,39.6839,39.9844,9565924
2018-06-25,39.7421,39.9359,38.9763,39.364,10614782
2018-06-26,39.3059,40.0523,39.2477,39.7518,12818919
2018-06-27,39.7421,40.0523,39.112,39.1314,9542833
2018-06-28,39.209,39.4222,38.4432,39.2768,10173879
2018-06-29,39.4222,39.5482,38.1621,38.1912,14054913
