Date,Country,Realized_Price,Value
2018-06-27,United Kingdom,175000,0.7610929294466854
2015-07-16,United Kingdom,1500,0.6409845522722902
2015-06-03,United Kingdom,2375,0.6514233600416911
2015-03-10,United Kingdom,50000,0.6628662335940607
2014-10-23,United Kingdom,0,0.623558022073954
2013-06-25,United Kingdom,865875,0.6485925541574783
2012-06-26,United Kingdom,0,0.6402048655569782
2012-06-26,United Kingdom,0,0.6402048655569782
2008-02-28,United Kingdom,60500,0.5030434126465114
2005-06-23,United Kingdom,0,0.5500550055005501
2004-06-24,United Kingdom,21600,0.548967940272288
1998-10-08,United Kingdom,60900,0.5806526535826269
2018-09-21,United Kingdom,0,0.7652865998316369
2018-06-27,United Kingdom,175000,0.7610929294466854
2018-06-27,United Kingdom,286000,0.7610929294466854
2018-06-07,United Kingdom,4750,0.7447680047665153
2018-03-08,United Kingdom,249000,0.7233796296296295
2017-10-06,United Kingdom,729000,0.7655209369976269
2017-07-11,United Kingdom,1830,0.7781495603454984
2017-03-15,United Kingdom,1750,0.8181966944853543
2017-03-08,United Kingdom,584750,0.8229098090849243
2016-11-16,United Kingdom,2500,0.8032128514056224
2016-11-10,United Kingdom,185000,0.7985307035055498
2016-11-10,United Kingdom,755000,0.7985307035055498
2016-11-10,United Kingdom,785000,0.7985307035055498
2016-10-06,United Kingdom,100000,0.7907013520993121
2016-10-05,United Kingdom,509000,0.7846214201647705
2016-06-30,United Kingdom,314500,0.7551729346020238
2016-06-29,United Kingdom,40000,0.7401924500370096
2015-10-16,United Kingdom,47500,0.6476264490641798
2015-07-16,United Kingdom,1500,0.6409845522722902
2015-07-16,United Kingdom,1000,0.6409845522722902
2015-06-30,United Kingdom,542500,0.6358491765753164
2015-03-10,United Kingdom,605000,0.6628662335940607
2015-03-10,United Kingdom,50000,0.6628662335940607
2014-10-17,United Kingdom,386500,0.6216585851050603
2014-10-16,United Kingdom,782500,0.6224712107065048
2014-09-25,United Kingdom,170500,0.6130080304051984
2014-07-03,United Kingdom,2108,0.5830223880597015
2014-07-01,United Kingdom,542500,0.583192395171167
2014-06-30,United Kingdom,290500,0.5846243788365976
2014-06-04,United Kingdom,1625,0.5971218725741924
2014-03-27,United Kingdom,806,0.6014314067480604
2014-02-19,United Kingdom,0,0.5981576743629621
2014-02-13,United Kingdom,962500,0.6008532115604158
2014-02-13,United Kingdom,0,0.6008532115604158
2013-12-11,United Kingdom,0,0.6101653548111539
2013-12-11,United Kingdom,17500,0.6101653548111539
2013-10-19,United Kingdom,12500,0.6101653548111539
2013-10-18,United Kingdom,60000,0.6178942165101334
2013-10-18,United Kingdom,458500,0.6178942165101334
2013-09-26,United Kingdom,800,0.6245316012990257
2013-09-26,United Kingdom,350,0.6245316012990257
