,0,1,2,3
328,6925 Independence Pkwy Plano TX 75023,7-eleven #34110,2.579,1 Day Ago
329,5700 Sh-121 Plano TX 75024,Racetrac #2371,2.599,1 Day Ago
330,3401 W Buckingham Rd Garland TX 75042,Royal Car Wash,2.599,5 Days Ago
331,1830 E Northgate Dr Irving TX 75062,Shell,2.699,1 Day Ago
332,5671 E Mockingbird Ln Dallas TX 75206,7-eleven #35403,2.699,1 Day Ago
333,186 E Fm 3040 Lewisville TX 75067,Murphy Usa #7013 (discount Available),2.479,1 Day Ago
334,2111 W Mockingbird Ln Dallas TX 75235,Racetrac #626,2.639,1 Day Ago
335,5151 Lemmon Ave Dallas TX 75209,Racetrac #569,2.639,1 Day Ago
336,7100 Independence Pkwy Plano TX 75025,Kroger Fuel Center (discount Available),2.699,1 Day Ago
337,10560 New Church Rd Dallas TX 75238,Chevron #304370,2.659,1 Day Ago
338,300 E Corporate Dr Lewisville TX 75067,Corporate Mart,2.699,1 Day Ago
339,8405 N Stemmons Fwy Dallas TX 75247,Exxon,2.699,1 Day Ago
340,8390 N Stemmons Fwy Dallas TX 75247,Shell Service Station,2.699,1 Day Ago
341,2910 N Central Expy Plano TX 75074,Chevron,2.599,4 Days Ago
342,3501 W Walnut St Garland TX 75042,Shell,2.599,1 Day Ago
343,3601 N Jupiter Rd Richardson TX 75082,7-eleven #36774,2.599,1 Day Ago
344,3420 W Walnut St Garland TX 75042,Trac 10,2.639,1 Day Ago
345,8375 N Belt Line Rd Irving TX 75063,7-eleven #35378,2.659,1 Day Ago
346,2500 Avenue K Plano TX 75074,Legacy Beverage,2.599,3 Days Ago
347,800 E Parker Rd Plano TX 75074,7-eleven,2.579,1 Day Ago
348,501 Jupiter Rd Plano TX 75074,Country Club Bev #3,2.699,1 Day Ago
349,400 Jupiter Rd Plano TX 75074,Chevron,2.649,1 Day Ago
350,2506 Inwood Rd Dallas TX 75235,Racetrac #498,2.639,1 Day Ago
351,520 Jupiter Rd Plano TX 75074,Racetrac #616,2.599,1 Day Ago
352,2405 E Plano Pkwy Plano TX 75074,Texaco,2.699,2 Days Ago
353,9235 John W Carpenter Fwy Dallas TX 75247,Quiktrip #1935,2.699,5 Days Ago
354,3501 Forest Ln Garland TX 75042,Texaco,2.649,3 Days Ago
355,193 E Corporate Dr Lewisville TX 75067,7-eleven #26412,2.649,1 Day Ago
356,4826 Cole Ave Dallas TX 75205,Texaco,2.799,1 Day Ago
357,8601 Ohio Dr Plano TX 75024,7-eleven #37930,2.599,1 Day Ago
358,3209 Avenue K Plano TX 75074,Value Food Store,2.499,2 Days Ago
359,100 W Sandy Lake Rd Coppell TX 75019,7-eleven #27658,2.629,1 Day Ago
360,102 E Corporate Dr Lewisville TX 75067,Chevron,2.699,1 Day Ago
361,3301 Avenue K Plano TX 75074,Valero,2.579,1 Day Ago
362,7801 N Belt Line Rd Irving TX 75063,7-eleven #33126,2.659,1 Day Ago
363,10690 Walnut Hill Ln Dallas TX 75238,7-eleven #25764,2.679,1 Day Ago
364,2201 Legacy Dr Plano TX 75023,Exxon,2.699,1 Day Ago
365,3960 Legacy Dr Plano TX 75023,Texaco,2.999,4 Days Ago
366,9666 Plano Rd Dallas TX 75238,King Food Store,2.659,3 Days Ago
367,5701 Mccommas Blvd Dallas TX 75206,Bens Short Stop,2.699,1 Day Ago
368,4200 Abrams Rd Dallas TX 75214,7-eleven #33121,2.679,1 Day Ago
369,301 Fr 3040 Lewisville TX 75067,Shell,2.699,4 Days Ago
370,1700 S Highway 121 Lewisville TX 75067,Corner Store #0786,2.699,2 Days Ago
371,1701 S Highway 121 Lewisville TX 75067,Quiktrip #927,2.649,1 Day Ago
372,725 W Fm 3040 Lewisville TX 75067,Round Grove Food Mart,2.489,4 Days Ago
373,1235 S Highway 121 Lewisville TX 75067,Texaco #381850,2.699,1 Day Ago
374,8235 Esters Blvd Irving TX 75063,7-eleven #38151,2.669,1 Day Ago
375,7902 Esters Blvd Irving TX 75063,Valero,2.659,1 Day Ago
376,700 S Stemmons Fwy Denton TX 76201,Lone Star #97,2.679,1 Day Ago
377,397 W Southwest Pkwy Lewisville TX 75067,Howdy Doody,2.599,3 Days Ago
378,801 E Sr121 Bus Lewisville TX 75057,Quiktrip #928,2.649,1 Day Ago
379,966 S Mill St Lewisville TX 75057,7-eleven #25268,2.649,1 Day Ago
380,521 E Highway 121 Lewisville TX 75057,Speedmax Mart,2.699,1 Day Ago
381,529 E Highway 121 Lewisville TX 75057,7-eleven #33113,2.559,1 Day Ago
382,1000 S Royal Ln Coppell TX 75019,Shell Service Station,2.899,1 Day Ago
383,1035 Fm-3040 Lewisville TX 75067,Quiktrip #941,2.489,1 Day Ago
384,2305 S Valley Pkwy Lewisville TX 75067,Tom Thumb #1785 (discount Available),2.539,2 Days Ago
385,2900 N Airfield Dr Dallas TX 75244,Shell,3.009,1 Day Ago
386,802 S Stemmons Fwy Lewisville TX 75067,Quik-way,2.699,1 Day Ago
387,877 S Stemmons Fwy Lewisville TX 75067,Highland Lakes Chevron,2.699,1 Day Ago
388,695 Fox Ave Lewisville TX 75067,Quick Track,2.549,1 Day Ago
389,3501 Grapevine Mills Pkwy Grapevine TX 76051,Shell,2.799,4 Days Ago
390,3500 Grapevine Mills Pkwy Grapevine TX 76051,Magic Mike #6,2.799,1 Day Ago
391,1001 Fox Ave Lewisville TX 75067,7-eleven #29404,2.649,1 Day Ago
392,2302 W Walnut Hill Ln Irving TX 75038,Star Food Mart,2.699,1 Day Ago
393,3510 Carbon Road Irving TX 75038,Racetrac #2429,2.649,1 Day Ago
394,1598 S Valley Pkwy Lewisville TX 75067,One Stop #18,2.699,3 Days Ago
395,1700 State Hwy 121 N Grapevine TX 76051,Quik Way,2.659,1 Day Ago
396,3700 Long Prairie Rd Flower Mound TX 75028,7-eleven #36315,2.599,1 Day Ago
397,1890 S Old Orchard Ln Lewisville TX 75067,Texaco,2.599,1 Day Ago
398,101 S Stemmons Fwy Lewisville TX 75067,Shell,2.699,1 Day Ago
399,516 Flower Mound Rd Flower Mound TX 75028,Texaco,2.659,1 Day Ago
400,4301 N Beltline Rd Irving TX 75038,Quiktrip #994,2.649,1 Day Ago
401,751 W Main St Lewisville TX 75067,Sams Club #6381,2.499,8 Days Ago
402,3321 W Walnut Hill Ln Irving TX 75038,7-eleven #22654,2.659,1 Day Ago
403,1700 State Hwy 26 Grapevine TX 76051,7-eleven #36014,2.669,1 Day Ago
404,905 N Mill St Lewisville TX 75057,Sams Food Mart  4150,2.599,1 Day Ago
405,2800 N O Connor Rd Irving TX 75062,7-eleven #26589,2.679,1 Day Ago
406,4002 N Belt Line Rd Irving TX 75038,Corner Store #2149,2.679,2 Days Ago
407,2800 N Macarthur Blvd Irving TX 75062,Shell,2.699,1 Day Ago
408,1230 E Airport Fwy Irving TX 75062,Shell,2.699,1 Day Ago
409,3401 N Story Rd Irving TX 75062,7-eleven #26376,2.659,1 Day Ago
410,3997 N Belt Line Rd Irving TX 75038,Shell,2.709,3 Days Ago
411,6801 Main St The Colony TX 75056,Corner Store #2375,2.659,2 Days Ago
412,3329 N Story Rd Irving TX 75062,S And T Food Mart,2.699,6 Days Ago
413,3700 N Belt Line Rd Irving TX 75038,Kroger Fuel Center #7402 (discount Available),2.659,1 Day Ago
414,2215 N O Connor Rd Irving TX 75062,Quiktrip #992,2.649,1 Day Ago
415,502 S Old Orchard Ln Lewisville TX 75067,One Stop,2.679,2 Days Ago
416,1951 E Grauwyler Rd Irving TX 75061,Shell,2.749,1 Day Ago
417,1298 W Main St Lewisville TX 75067,Chevron,2.599,3 Days Ago
418,1131 Flower Mound Rd Flower Mound TX 75028,Kroger Fuel Center #7585 (discount Available),2.489,1 Day Ago
419,4118 W Airport Fwy Irving TX 75062,7-eleven #25274,2.669,1 Day Ago
420,2330 W Airport Fwy Irving TX 75062,Chill And Fill,2.699,1 Day Ago
421,3635 N Belt Line Rd Irving TX 75062,Texaco Service Station,2.659,1 Day Ago
422,1302 W Main St Lewisville TX 75067,7-eleven #23864,2.599,1 Day Ago
423,900 Valley Ridge Blvd Lewisville TX 75077,7-eleven #37931,2.599,1 Day Ago
424,2240 Morriss Rd Ste 100 Flower Mound TX 75028,Stone Creek Mini Mart,2.599,2 Days Ago
425,324 N Mill St Lewisville TX 75057,Porter Tire,2.699,4 Days Ago
426,1101 W Airport Fwy Irving TX 75062,7-eleven #34236,2.699,1 Day Ago
427,2604 N Story Rd Irving TX 75062,Corner Store #0904,2.599,1 Day Ago
428,1101 W Rochelle Rd Irving TX 75062,Chevron,2.699,1 Day Ago
429,2112 N O Connor Rd Irving TX 75061,Quik-way,2.679,1 Day Ago
430,8400 North Beltline Ro Irving TX 75063,Racetrac #174,2.649,1 Day Ago
431,601 Cross Timbers Rd Flower Mound TX 75028,Texaco,2.579,3 Days Ago
432,1597 W Main St Lewisville TX 75067,Quik-way,2.659,4 Days Ago
433,1191 Valley Ridge Blvd Lewisville TX 75077,Chevron #379162,2.639,2 Days Ago
434,1901 E Union Bower Rd Irving TX 75061,Union Bower Mart,2.749,1 Day Ago
435,3000 N Belt Line Rd Irving TX 75062,Shell Service Station,2.699,1 Day Ago
436,3001 N Belt Line Rd Irving TX 75062,7-eleven #24409,2.669,1 Day Ago
437,3330 Legacy Dr Frisco TX 75034,7-eleven #34088,2.659,1 Day Ago
438,3425 Legacy Dr Frisco TX 75034,Racetrac #2386,2.659,1 Day Ago
439,4640 Main St Frisco TX 75034,Racetrac #133,2.649,1 Day Ago
440,4645 Main St Frisco TX 75034,Quiktrip #937,2.649,1 Day Ago
441,7950 Gaylord Pkwy Frisco TX 75034,7-eleven #34536,2.599,1 Day Ago
442,4420 Legacy Dr Frisco TX 75034,7-eleven #34482,2.659,1 Day Ago
443,3272 Parkwood Blvd Frisco TX 75034,Corner Store #1568,2.559,1 Day Ago
444,4851 Legacy Dr Frisco TX 75034,Kroger Fuel Center (discount Available),2.699,1 Day Ago
445,359 Lake Park Rd Lewisville TX 75057,Colds Beverage,2.699,6 Days Ago
446,1850 N Stemmons Fwy Lewisville TX 75067,Big Jacks Grocery,2.899,3 Days Ago
447,3650 Preston Rd Frisco TX 75034,7-eleven #33066,2.599,1 Day Ago
448,1231 Justin Rd Lewisville TX 75077,Quiktrip #942,2.489,1 Day Ago
449,1298 Justin Rd Lewisville TX 75077,Mcgees Country Store,2.489,1 Day Ago
450,998 N Garden Ridge Blvd Lewisville TX 75077,Whip In 119,2.599,4 Days Ago
451,1065 Cross Timbers Rd Flower Mound TX 75028,7-eleven #35758,2.599,1 Day Ago
452,5403 Dallas Pkwy Frisco TX 75034,7-eleven #33127,2.659,1 Day Ago
453,7940 Lebanon Rd Frisco TX 75034,Racetrac #2382,2.639,1 Day Ago
454,1501 Fm 407 Lewisville TX 75077,7-eleven #35385,2.499,1 Day Ago
455,5032 Preston Rd Frisco TX 75034,Shell,2.699,1 Day Ago
456,6495 Dallas Pkwy Frisco TX 75034,Shell,2.799,1 Day Ago
457,1519 Fm 407 Lewisville TX 75077,Murphy Usa #6701 (discount Available),2.479,1 Day Ago
458,6529 Dallas Pkwy Frisco TX 75034,Corner Store #1567,2.659,1 Day Ago
459,5989 Stonebrook Pkwy Frisco TX 75034,Walmart Supercenter #2463,2.489,7 Days Ago
460,1909 Cross Timbers Rd Flower Mound TX 75028,Shell Service Station,2.699,1 Day Ago
461,9110 Coit Rd Plano TX 75025,Racetrac #581,2.539,1 Day Ago
462,860 Long Prairie Rd Flower Mound TX 75028,7-eleven #37616,2.599,1 Day Ago
463,1098 Texan Trl Grapevine TX 76051,Chevron,2.699,1 Day Ago
464,2509 Northeast Pkwy Garland TX 75040,7-eleven #35398,2.599,1 Day Ago
465,513 E Northwest Hwy Grapevine TX 76051,Shell,2.699,1 Day Ago
466,424 E Northwest Hwy Grapevine TX 76051,Quick Fill,2.699,1 Day Ago
467,506 E Northwest Hwy Grapevine TX 76051,Mart,2.699,2 Days Ago
468,330 W Northwest Hwy Grapevine TX 76051,Quick Way,2.649,2 Days Ago
469,2101 Long Prairie Rd Flower Mound TX 75022,7-eleven #35387,2.599,1 Day Ago
470,101 Ball St Grapevine TX 76051,Atlantic Food Store 1,2.699,1 Day Ago
471,2208 Long Prairie Rd Flower Mound TX 75022,Shell,2.799,1 Day Ago
472,101 E Highway 114 Grapevine TX 76051,Chevron,2.699,1 Day Ago
473,1414 N Dove Rd Grapevine TX 76051,Grapevine Market,2.699,5 Days Ago
474,1216 W Northwest Hwy Grapevine TX 76051,Triple R 102 Food,2.699,4 Days Ago
475,1111 S Ball St Grapevine TX 76051,Shell,2.699,2 Days Ago
476,801 Ira E Woods Ave Grapevine TX 76051,Quiktrip #967,2.479,1 Day Ago
477,3300 Long Prairie Rd Flower Mound TX 75022,Shell,2.649,1 Day Ago
478,2400 Cross Timbers Rd Flower Mound TX 75028,Corner Store #1201,2.599,2 Days Ago
479,3313 Long Prairie Rd Flower Mound TX 75022,Flower Mound Food And Fuel,2.689,2 Days Ago
480,2041 W Northwest Hwy Grapevine TX 76051,Chevron,2.799,1 Day Ago
481,1700 William D Tate Ave Grapevine TX 76051,7-eleven #35397,2.559,1 Day Ago
482,1701 W State Highway 114 Grapevine TX 76051,Sams Club #4795 (discount Available),2.439,6 Days Ago
483,2709 Cross Timbers Rd Flower Mound TX 75028,Kroger Fuel Center #7456 (discount Available),2.599,1 Day Ago
484,1101 E Northwest Pkwy Southlake TX 76092,7-eleven #27239,2.679,1 Day Ago
485,2905 E Southlake Blvd Southlake TX 76092,Quiktrip #858,2.649,1 Day Ago
486,2601 E Highway 114 Southlake TX 76092,Costco #0669,2.429,1 Day Ago
487,2420 Westport Pkwy Haslet TX 76052,7-eleven #35796,2.499,1 Day Ago
488,2190 E Dove Rd Southlake TX 76092,Advance Petroleum #152,2.699,2 Days Ago
489,3701 Esters Rd Irving TX 75038,Shell,2.759,1 Day Ago
490,401 N Kimball Ave Southlake TX 76092,Shell,2.799,1 Day Ago
491,2636 William D Tate Ave Grapevine TX 76051,Best Mart,2.599,3 Days Ago
492,2150 E Highway 114 Southlake TX 76092,Scooters Superstore,2.699,1 Day Ago
493,2713 Mustang Dr Grapevine TX 76051,Shamrock,2.699,4 Days Ago
494,5075 W Northgate Dr Irving TX 75062,Churchs At Valley View,2.799,1 Day Ago
495,3950 Valley View Ln Irving TX 75062,Corner Store #2055,2.659,1 Day Ago
496,2100 E Southlake Blvd Southlake TX 76092,7-eleven #34556,2.679,1 Day Ago
497,101 W Glade Rd Euless TX 76039,7-eleven #26342,2.619,1 Day Ago
498,4301 Cross Timbers Rd Flower Mound TX 75028,Tom Thumb #1854 (discount Available),2.699,1 Day Ago
499,2100 Hall Johnson Rd Grapevine TX 76051,Hall Johnson Exxon,2.699,4 Days Ago
500,1809 Justin Rd Flower Mound TX 75028,Racetrac #375,2.489,1 Day Ago
501,3125 Ira E Woods Ave Grapevine TX 76051,7-eleven #36954,2.559,1 Day Ago
502,2390 Fuller Wiser Rd Euless TX 76039,7-eleven #26657,2.599,1 Day Ago
503,901 E Mid Cities Blvd Euless TX 76039,Chevron,2.699,1 Day Ago
504,2101 Hall Johnson Rd Grapevine TX 76051,Shell,2.699,1 Day Ago
505,2290 Justin Rd Lewisville TX 75077,Chevron 1239,2.549,2 Days Ago
506,2810 N Belt Line Rd Irving TX 75062,Texaco,2.659,2 Days Ago
507,2301 Justin Rd Flower Mound TX 75028,Tom Thumb #3575 (discount Available),2.599,1 Day Ago
508,2501 N Main St Euless TX 76039,Korner Food Store,2.699,1 Day Ago
509,5351 William D Tate Ave Grapevine TX 76051,Shell,2.699,1 Day Ago
510,3613 Ira E Woods Ave Grapevine TX 76051,Shell,2.749,1 Day Ago
511,3011 State Highway 121 Euless TX 76039,7-eleven #27328,2.589,1 Day Ago
512,4900 W Airport Fwy Irving TX 75062,Shell,2.999,1 Day Ago
513,4125 W Airport Fwy Irving TX 75062,Breaktime,2.599,6 Days Ago
514,4225 W Airport Fwy Irving TX 75062,Shell,2.699,1 Day Ago
515,4200 Glade Rd Colleyville TX 76034,Charlie Hall,2.609,1 Day Ago
516,1951 N Belt Line Rd Irving TX 75061,Chevron,2.659,1 Day Ago
517,1000 E Harwood Rd Euless TX 76039,Corner Store #1880,2.459,1 Day Ago
518,2930 W Irving Blvd Irving TX 75061,A Mart,2.689,6 Days Ago
519,2344 E Rental Car Dr Euless TX 76039,Shell,2.999,1 Day Ago
520,1718 N Belt Line Rd Irving TX 75061,Quiktrip #995,2.649,1 Day Ago
521,4243 W Pioneer Dr Irving TX 75061,Exxon,2.649,1 Day Ago
522,100 Marketplace Ln Lewisville TX 75077,Murphy Usa #7584 (discount Available),2.479,1 Day Ago
523,1091 Fuller Wiser Rd Euless TX 76039,Corner Store #2042,2.659,1 Day Ago
524,2317 W Grauwyler Rd Irving TX 75061,Shell,2.699,1 Day Ago
525,1401 N Belt Line Rd Irving TX 75061,Corner Store #2413,2.659,1 Day Ago
526,3928 Highway 121 Bedford TX 76021,Exxon,2.699,1 Day Ago
527,1100 N Main St Euless TX 76039,Shell,2.699,1 Day Ago
528,110 W Southlake Blvd Southlake TX 76092,Texaco,2.799,1 Day Ago
529,1060 N Main St Euless TX 76039,Kroger Fuel Center #7451(discount Available),2.699,2 Days Ago
530,801 N Belt Line Rd Irving TX 75061,7-eleven #27644,2.659,1 Day Ago
531,6414 Cross Timbers Rd Flower Mound TX 75022,Shell,2.699,1 Day Ago
532,3400 Fm 407 E Argyle TX 76226,Kroger Fuel Ctr #757,2.499,1 Day Ago
533,321 Fm 2325 Wimberley TX 78676,Shell,2.599,1 Day Ago
534,2652 Fm 407 E Argyle TX 76226,7-eleven #38332,2.559,1 Day Ago
535,102 Main St Lake Dallas TX 75065,Allsups Convenience Store #40,2.599,1 Day Ago
536,8300 Ih-35 E Lake Dallas TX 75065,7-eleven #36314,2.519,1 Day Ago
537,4320 Fm 2181 Lake Dallas TX 75065,Racetrac #2525,2.509,1 Day Ago
538,302 Swisher Rd Lake Dallas TX 75065,Quiktrip #940,2.519,1 Day Ago
539,600 N Stemmons Fwy Lake Dallas TX 75065,Circle K #6338,2.559,1 Day Ago
540,1842 Fm 407 E Argyle TX 76226,Lone Star Country Store,2.499,1 Day Ago
541,8100 S I-35 E Denton TX 76210,7-eleven #35390,2.549,1 Day Ago
542,5021 Teasley Ln Denton TX 76210,Kroger Fuel Center (discount Available),2.499,1 Day Ago
543,2101 E Highway 114 Roanoke TX 76262,7-eleven #32921,2.569,1 Day Ago
544,2301 N Highway 377 Roanoke TX 76262,Quiktrip #966,2.459,1 Day Ago
545,4200 Fm 2181 Denton TX 76210,Murphy Usa #6721 (discount Available),2.499,1 Day Ago
546,1731 Highway 377 N Roanoke TX 76262,7-eleven #37210,2.589,1 Day Ago
547,4005 Teasley Ln Denton TX 76210,7-eleven #34356,2.569,1 Day Ago
548,3930 Teasley Ln Denton TX 76210,Walmart Neighborhood Market #4104,2.409,6 Days Ago
549,3912 Teasley Ln Denton TX 76210,Teasley Food Mart,2.599,4 Days Ago
550,1600 W Southlake Blvd Southlake TX 76092,7-eleven #32922,2.599,1 Day Ago
551,1230 N Highway 377 Roanoke TX 76262,Murphy Usa #7189 (discount Available),2.459,1 Day Ago
552,704 E Byron Nelson Blvd Roanoke TX 76262,Lovely Food Mart,2.799,2 Days Ago
553,18501 I-35 W Roanoke TX 76262,Corner Store #1202,2.599,1 Day Ago
554,3628 S I-35 E Denton TX 76210,Express Lane Exxon,2.699,1 Day Ago
555,3701 S I-35 E Denton TX 76210,Quiktrip #911,2.549,1 Day Ago
556,201 E Byron Nelson Blvd Roanoke TX 76262,Chevron,2.699,1 Day Ago
557,640 N Story Rd Irving TX 75061,Our C Store,2.659,1 Day Ago
558,800 N Belt Line Rd Irving TX 75061,Shell,2.699,5 Days Ago
559,1413 W Pioneer Dr Irving TX 75061,Atlantic Oil And Gas,2.699,1 Day Ago
560,714 N Beltline Rd Irving TX 75038,Racetrac #2308,2.649,1 Day Ago
561,2630 Rock Island Rd Irving TX 75060,Empire Petroleum,2.529,1 Day Ago
562,102 Irby Ln Irving TX 75061,Texaco,2.599,2 Days Ago
563,1400 Rock Island Rd Irving TX 75060,Circle S Food Stop,2.599,3 Days Ago
564,101 S Macarthur Blvd Irving TX 75060,Corner Store #0946,2.599,3 Days Ago
565,2400 W 4th St Irving TX 75060,Az Food Mart,2.499,7 Days Ago
566,401 E Pioneer Dr Irving TX 75061,Stop And Shop 2,2.569,6 Days Ago
567,515 S Macarthur Blvd Irving TX 75060,Kroger Fuel Center #7495 (discount Available),2.699,1 Day Ago
568,820 S Belt Line Rd Irving TX 75060,Speedy Zone,2.699,4 Days Ago
569,401 W 6th St Irving TX 75060,El Rons,2.499,4 Days Ago
570,2326 W Shady Grove Rd Irving TX 75060,Shell Service Station,2.699,1 Day Ago
571,1501 E Sh 356 Irving TX 75060,Quiktrip #998,2.649,1 Day Ago
572,1725 E Highway 356 Irving TX 75060,Raceway #864,2.649,1 Day Ago
573,1600 E Highway 356 Irving TX 75060,7-eleven #25758,2.679,1 Day Ago
574,501 S Loop 12 Irving TX 75060,Grandys At Irving,2.699,4 Days Ago
575,10941 Harry Hines Blvd Dallas TX 75220,Shell,2.689,2 Days Ago
576,1140 S Nursery Rd Irving TX 75060,Nursery Food Mart,2.599,2 Days Ago
577,906 E Shady Grove Rd Irving TX 75060,Gophers Mart,2.599,1 Day Ago
578,14205 Trinity Blvd Fort Worth TX 76155,Shell,2.339,1 Day Ago
579,3206 W Trinity Blvd Grand Prairie TX 75050,Pilot Express #1108,2.599,1 Day Ago
580,14200 Trinity Blvd Fort Worth TX 76155,7-eleven #26580,2.499,1 Day Ago
581,1215 S Loop 12 Irving TX 75060,Quik-way,2.799,1 Day Ago
582,2970 Roy Orr Blvd Grand Prairie TX 75050,Shell,2.639,1 Day Ago
583,600 N Main St Euless TX 76039,Valero Store 724,2.629,1 Day Ago
584,511 N Main St Euless TX 76039,Z And M Food Mart And Deli,2.499,7 Days Ago
585,221 N Main St Euless TX 76039,Chevron,2.649,1 Day Ago
586,105 N Main St Euless TX 76040,Main Street Beer,2.649,1 Day Ago
587,220 W Euless Blvd Euless TX 76040,Racetrac #374,2.559,1 Day Ago
588,709 S Main St Euless TX 76040,A1 Stop #5,2.659,3 Days Ago
589,1555 W North Carrier Pkwy Grand Prairie TX 75050,E-z Mart #502,2.699,4 Days Ago
590,513 W Euless Blvd Euless TX 76040,Valero,2.659,4 Days Ago
591,1407 W North Carrier Pkwy Grand Prairie TX 75050,Mountain Express,2.699,1 Day Ago
592,610 W Euless Blvd Euless TX 76040,Tonies Beer And Grocery,2.619,1 Day Ago
593,851 Post And Paddock St Grand Prairie TX 75050,Quick Fuel #5301,2.729,1 Day Ago
594,12977 Trinity Blvd Euless TX 76040,Shell,2.559,1 Day Ago
595,1100 N Industrial Blvd Euless TX 76039,Quiktrip #867,2.569,1 Day Ago
596,13000 Trinity Boulevard Euless TX 76040,Exxon,2.699,3 Days Ago
597,612 N Industrial Blvd Euless TX 76039,Ice Box #3,2.599,3 Days Ago
598,1205 Fountain Pkwy Grand Prairie TX 75050,Automated Fueling201,2.759,1 Day Ago
599,2910 Ruder St Dallas TX 75212,Whip In #105,2.699,4 Days Ago
600,1110 N Belt Line Rd Grand Prairie TX 75050,Quiktrip #953,2.629,1 Day Ago
601,5923 Singleton Blvd Dallas TX 75212,A & K Food Mart,2.699,8 Days Ago
602,1220 W Mockingbird Lane Dallas TX 75247,Quiktrip #929,2.639,1 Day Ago
603,2610 N Highway 360 Grand Prairie TX 75050,7-eleven #32805,2.599,1 Day Ago
604,5910 Singleton Blvd Dallas TX 75212,7-eleven #35384,2.599,1 Day Ago
605,5723 Singleton Blvd Dallas TX 75212,Chevron #302278,2.799,2 Days Ago
606,2535 N Highway 360 Grand Prairie TX 75050,Riverside C Store,2.699,1 Day Ago
607,2105 N Highway 360 Grand Prairie TX 75050,7-eleven #26724,2.599,1 Day Ago
608,700 S Industrial Blvd Euless TX 76040,Quiktrip #869,2.559,1 Day Ago
609,2095 N Highway 360 Grand Prairie TX 75050,Quik-way,2.649,1 Day Ago
610,2805 Ne Green Oaks Blvd Grand Prairie TX 75050,Quiktrip #852,2.599,1 Day Ago
611,555 W Mockingbird Ln Dallas TX 75247,7-eleven #38438,2.659,1 Day Ago
612,1525 N Belt Line Rd Grand Prairie TX 75050,Racetrac #73,2.629,1 Day Ago
613,7014 N Stemmons Fwy Dallas TX 75247,Quik-way,2.749,1 Day Ago
614,1605 North Carrier Pkwy Grand Prairie TX 75050,7-eleven #36483,2.649,1 Day Ago
615,925 N Belt Line Rd Grand Prairie TX 75050,Shell,2.679,1 Day Ago
616,1600 W Euless Blvd Euless TX 76040,Adams Auto Service,2.639,1 Day Ago
617,702 N Belt Line Rd Grand Prairie TX 75050,Racetrac #516,2.629,1 Day Ago
618,701 N Belt Line Rd Grand Prairie TX 75050,Texaco #206200,2.679,1 Day Ago
619,1610 Nw 19th St Grand Prairie TX 75050,Corner Store #2078,2.699,1 Day Ago
620,1402 Nw 19th St Grand Prairie TX 75050,Texaco,2.699,1 Day Ago
621,13900 Trinity Blvd Euless TX 76040,Corner Store #2098,2.659,1 Day Ago
622,1622 N State Highway 360 Grand Prairie TX 75050,Corner Store #2176,2.579,1 Day Ago
623,2525 Brown Blvd Arlington TX 76006,Corner Store #2002,2.599,1 Day Ago
624,1009 N Carrier Pkwy Grand Prairie TX 75050,Pt Food Store,2.679,2 Days Ago
625,2000 Murphy Dr Bedford TX 76021,Murphy Mart Exxon,2.669,1 Day Ago
626,105 Westpark Way Euless TX 76040,Quiktrip #887,2.649,1 Day Ago
627,1821 W Tarrant Rd Grand Prairie TX 75050,Sanya Food Mart,2.699,1 Day Ago
628,2001 Murphy Dr Bedford TX 76021,Shell,2.699,1 Day Ago
629,1726 E Main St Grand Prairie TX 75050,Gastar 048,2.699,2 Days Ago
630,1612 E Main St Grand Prairie TX 75050,Texaco,2.699,4 Days Ago
631,2475 W Tarrant Rd Grand Prairie TX 75050,Corner Store #2054,2.659,1 Day Ago
632,1525 Inwood Rd Dallas TX 75247,Texaco,2.699,1 Day Ago
633,1607 Inwood Rd Dallas TX 75247,7-eleven #35409,2.679,1 Day Ago
634,5901 W Davis St Dallas TX 75211,Quiktrip #970,2.499,1 Day Ago
635,2901 Central Dr Bedford TX 76021,Texaco,2.799,2 Days Ago
636,717 E Jefferson St Grand Prairie TX 75051,Chevron,2.659,2 Days Ago
637,1800 Ne Green Oaks Blvd Arlington TX 76006,Green Oaks Mart,2.649,2 Days Ago
638,4109 State Highway 1 Bedford TX 76021,Murphy Usa #7588 (discount Available),2.559,1 Day Ago
639,501 Avenue H E Arlington TX 76011,Shell,2.779,1 Day Ago
640,2109 Harwood Rd Bedford TX 76021,Kroger Fuel Center (discount Available),2.699,2 Days Ago
641,1545 N Cockrell Hill Rd Dallas TX 75211,Murphy Usa #6949 (discount Available),2.489,1 Day Ago
642,901 Ne Green Oaks Blvd Arlington TX 76006,7-eleven #34725,2.659,1 Day Ago
643,201 W Jefferson St Grand Prairie TX 75051,Super Track Foods,2.699,1 Day Ago
644,2775 N Collins St Arlington TX 76006,Tom Thumb #4629 (discount Available),2.659,2 Days Ago
645,2101 Bedford Rd Ste A Bedford TX 76021,Minit Market,2.469,4 Days Ago
646,833 Ne Green Oaks Blvd Arlington TX 76006,Swif-t,2.659,4 Days Ago
647,2104 Bedford Rd Bedford TX 76021,Murphy Usa #7160 (discount Available),2.579,1 Day Ago
648,401 S Belt Line Rd Grand Prairie TX 75051,Conoco,2.679,5 Days Ago
649,6011 W Davis St Dallas TX 75211,Raceway #969,2.499,1 Day Ago
