Title,Year,Size,Materials and Medium,Series ,Link to Image
Veil of Serendipity,2017,1676 x 1143 mm 66 x 45 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofSerendipity_1_771_0.jpg
Veil of Unfolding Life,2017,2743 x 1829 mm 108 x 72 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofUnfoldingLife_1_771_0.jpg
Veil of Blinding Light,2017,3048  x 2286 mm 120 x 90 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofBlindingLight_1_771_0.jpg
Veil of Love Everlasting,2017,3048 x 2286 mm 120 x 90 in,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofLoveEverlastin_1_771_0.jpg
Veil of Hope,2017,3658 x 2743 mm 144 x 108 in,Oil on Canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofHope_1_771_0.jpg
Veil of Inner Light,2017,3048 x 2286  mm  120 x 90 in ,Oil on canvas,Veil Paintings,http://damienhirst.com/images/hirstimage/VeilofInnerLight_1_771_0.jpg
Flesh Tint,2016,610 x 813 mm | 24 x 32 in,Household gloss on canvas,Colour Space,http://damienhirst.com/images/hirstimage/DHS22713_1_1440_0.jpg
Leprosy,2003,1372 x 1016 mm |54 x 40 in ,Flies and resin on canvas,Fly Paintings and Sculptures,http://damienhirst.com/images/hirstimage/Leprosy_771_0.jpg
Gold Summer,2008 - 2009,1880 x 1651 mm | 74 x 65 in,"Butterflies, cubic zirconia and metallic paint on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/GoldSummer_3_771_0.jpg
Dreams of Magnificence,2008 - 2009,1500 x 1500 mm | 59.1 x 59.1 in,"Butterflies, cubic zirconia and metallic paint on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS10923_771_0.jpg
Dreams of Magnificence,2008 - 2009,1500 x 1500 mm | 59.1 x 59.1 in,"Butterflies, cubic zirconia and metallic paint on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS10923_771_0.jpg
Veneration,2007,1829 x 1829 mm | 72 x 72 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/Veneration_3_771_0.jpg
The Unbearable Lightness of Being,2003,2438 x 1524 mm | 96 x 60 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/DHS877_771_0.jpg
Heaven,2008 - 2009,2140 x 3836 x 1418 mm | 84.3 x 151 x 55.8 in,"Glass, painted stainless steel, stainless steel, silicone, monofilament, shark and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/GetFile_771_0.jpg
Chlorpropamide,1996,1930 x 2388  x 2388 mm | 76 x 94 in (2 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS562SpotPainting2_771_0.jpg
The Fragility of Love,2015,745 x 2495 x 2495 mm | 29.3 x 98.2 x 98.2 in,"Painted MDF, steel, knives, air blower and beach ball",Mental Escapology,http://damienhirst.com/images/hirstimage/DHS19421straightclos_771_0.jpg
The Child's Dream,2008,1670 x 2312 x 960 mm |65.7 x 91 x 37.8 in,"Glass, gold plated stainless steel, silicone, gold plated sterling silver, stainless steel, foal and formaldehyde solution with Carrara marble plinth",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS8526withplinth_771_0.jpg
Black Sheep with Golden Horns,2009,1103 x 1623 x 641 mm | 43.4 x 63.9 x 25.2 in ,"Glass, painted stainless steel, silicone, acrylic, gold, cable ties, sheep and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/BlackSheepGolden_2_1440_0.jpg
Beautiful Mickey Mouse Painting ,2012 - 2013,Diameter: 2134 mm | 84 in mm,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS16599_771_0.jpg
Beautiful Terminal Velocity Through Wormholes in Summertime Painting,2008,400 x 650 mm,Household gloss on vinyl mounted on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/DHS142611_771_0.jpg
The Startling Effects of Mesmerism on a Dying Man,2008,Painting: 213.4 x 213.4 mm | 84 x 84 in | Bed: 970 x 2020 x 1230 mm | 38 x 79.5 48 in,"Household gloss on canvas with skull, fairy lights, teddy bear, crow and bed",Spin Paintings,http://damienhirst.com/images/hirstimage/DHS93874_771_0.jpg
Washington,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, zip stops, stitching needles, tattoo needles, aluminium filings, pins, stainless steel studs, fish hooks, safety pins and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17864c_771_0.jpg
Leeds,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, zips, fish hooks and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17853c_771_0.jpg
Beijing,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, razor blades, zips, pins, safety pins and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17850c_771_0.jpg
Sao Paulo,2014,1900 x 2783 mm | 74.8 x 109.6 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, stainless steel studs and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17861c_771_0.jpg
Rio,2014,1983 x 2880 mm | 78.1 x 113.4 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, pins, stainless steel studs, fish hooks, steel wire cutting spool and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17858c_771_0.jpg
New York with Ground Zero,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, razor blades, zips, stitching needles, aluminium filings, stainless steel studs and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17857c_771_0.jpg
Berlin,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, stainless steel studs and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17851c_771_0.jpg
Hong Kong,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, pins, fish hooks and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17852c_771_0.jpg
Moscow,2014,1875 x 2780 mm | 73.8 x 109.4 in,"Scalpel blades, skin graft blades, razor blades, zips, stitching needles, tattoo needles, aluminium filings, stainless steel studs, safety pins and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17856c_771_0.jpg
Vatican (Rome),2014,1904 x 2801 mm | 75 x 110.3 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, pins, pendants, charms, ball bearings and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17863c_771_0.jpg
Singapore,2014,1940 x 2809 mm | 76.4 x 110.6 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, pins, stainless steel studs, safety pins and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17862c_771_0.jpg
San Francisco,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, kraft knife blades, zips, stitching needles, aluminium filings, pins, stainless steel studs, lead shot and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17859c_771_0.jpg
Shanghai,2014,2743 x 1829 mm | 108 x 72 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, pins, stainless steel studs and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17860c_771_0.jpg
Hong Kong,2014,1829 x 2743 mm | 72 x 108 in,"Scalpel blades, skin graft blades, zips, stitching needles, aluminium filings, pins, fish hooks and gloss paint on canvas",Black Scalpel Cityscapes,http://damienhirst.com/images/hirstimage/DHS17852c_771_0.jpg
"Signification (Hope, Immortality and Death in Paris, Now and Then)",2014,2685 x 901 x 358 mm | 101 x 35.5 x 14.1 in,"Glass, stainless steel, steel, nickel, brass, rubber, oak, domestic cleaning products, household gloss on skull, mounted ornithology, rodent and mammal taxidermy specimens, mounted taxidermy with fire damage, mounted entomology specimens, mounted pearl Nautilus shell, cut and fold paper frog, ostrich eggs with artist's inscriptions, purple barnacle cluster, dried knobby starfish, dried white finger starfish, air pistol and pellets, hunting knife, white calcite on aragonite crystal, human skull, skeletons and security tags",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS18274straight_771_0.jpg
Gone but not Forgotten,2014,165 x 282 x 178 mm mm | 4181 x 7166 x 4566 in,"Glass, vinyl covered stainless steel, powder-coated steel, rubber, gold leaf and mammoth skeleton","Gold, Silver and Bronze",http://damienhirst.com/images/hirstimage/MVitrineFrontview_771_0.jpg
Ashtray Head/Fallen Empire,1995,650 x 2438 mm | 25.6 x 96 in,"Fibreglass, cow's head, blood and flies",Ashtrays,http://damienhirst.com/images/hirstimage/DHS1100wide3_771_0.jpg
Mickey,2012,1829 x 1054 mm | 72 x 41.5 in,Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/DHS16738_2_771_0.jpg
Untitled AAAAA,1992,762 x 1016 x 229 mm | 30 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5076_771_0.jpg
Secret Loves,2011,2433 x 2433 x 102 mm,"Glass, stainless steel, steel, aluminium, nickel and cubic zirconia",Diamond Cabinets,http://damienhirst.com/images/hirstimage/DHS15116_771_0.jpg
Denial,1994,1800 x 900 x 360 mm | 70.9 x 35.4 x 14.2 in,"Glass, stainless steel, steel, nickel, brass, rubber, butcher's knives and hooks, medical and surgical equipment",Instrument Cabinets,http://damienhirst.com/images/hirstimage/DHS7648_771_0.jpg
Leviathan,2006 - 2013,2928 x 10393 x 2594 mm | 115.3 x 409.2 x 102.1,"Glass, painted stainless steel, fibreglass, silicone, stainless steel, plastic, monofilament, shark and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS6337Left_771_0.jpg
Secrets of Love,2010,1833 x 2753 x 102 mm | 72.2 x 108.4 x 4 in,"Glass, stainless steel, steel, aluminium, nickel and cubic zirconia",Diamond Cabinets,http://damienhirst.com/images/hirstimage/SecretsofLove_2_1440_0.jpg
Loves’ Secret,2011,2433 x 2433 x 102 mm | 95.8 x 95.8 x 4 in,"Glass, stainless steel, steel, aluminium, nickel and cubic zirconia",Diamond Cabinets,http://damienhirst.com/images/hirstimage/LovesSecret_1_771_0.jpg
Beautiful Rotating Murdering Mating Dance of a Peacock Painting,2007,Diameter: 2134 mm | 84 in,Household gloss on canvas and electric motor,Spin Paintings,http://damienhirst.com/images/hirstimage/BeauifulRotat_1_771_0.jpg
