Title,Year,Size,Materials and Medium,Series ,Link to Image
Untitled AAAAAAAA,1992,762 x 1016 x 229 mm | 30 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5082r_771_0.jpg
Untitled A,1992,762 x 1016 x 229 mm | 30 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5061rr_1_771_0.jpg
Untitled a,1992,610 x 1016 x 229 mm | 24 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5069r_771_0.jpg
Huht-Hmm,1997,381 x 762 x 152 mm | 15 x 30 x 6 in,"Glass, painted MDF, beech, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS4977WCr_771_0.jpg
Untitled aaa,1992,610 x 1016 x 229 mm | 24 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5061rr_771_0.jpg
Untitled aa,1992,610 x 1016 x 229 mm | 24 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5072r_771_0.jpg
Untitled AA,1992,762 x 1016 x 229 mm | 30 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5071r_771_0.jpg
Untitled AAAAAAAAA,1992,762 x 1016 x 229 mm | 30 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS5084rr_771_0.jpg
God,1989,1372 x 1016 x 229 mm | 54 x 40 x 9 in,"Glass, faced particleboard, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/God_771_0.jpg
Untitled,2000,2134 x 2134 mm | 84 x 84 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/DHS5359t_771_0.jpg
With Dead Head,1999,1076 x 668 x 75 mm | 42.4 x 26.3 x 3 in,Gelatin silver print,Other Works,http://damienhirst.com/images/hirstimage/DHS16914t_771_0.jpg
Whisper,1997,381 x 762 x 152 mm | 15 x 30 x 6 in,"Glass, painted MDF, beech, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS4553_771_0.jpg
Did You No Wrong,1990 - 1991,1372 x 1016 x 229 mm | 54 x 40 x 9 in,"Glass, painted MDF, ramin, steel, plastic, aluminium, resin, chemicals, pharmaceuticals and packaging, circa 1960-1975",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS4952DidYouNoWrong_771_0.jpg
Problems,1989 - 2010,1372 x 1016 x 229 mm | 54 x 40 x 9 in,"Glass, faced particleboard, ramin, wooden dowels, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS12507_771_0.jpg
Nessus,2009,610 x 610 mm | 24 x 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/DHS12910t_771_0.jpg
Minos,2009,Diameter: 610 mm | 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs12909t_771_0.jpg
Typhon,2012,610 x 610 mm | 24 x 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs16374t_771_0.jpg
Judecca,2012,1829 x 1829 mm | 72 x 72 in,Entomological specimens and household gloss on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs16426t_771_0.jpg
Acheron,2011,2134 x 2134 mm | 84 x 84 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs14048t_771_0.jpg
Limbo,2009,Diameter: 610 mm | 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs11784t_771_0.jpg
Purgatorio,2009,1753 x 1346 mm | 69 x 53 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs12911t_771_0.jpg
Typhon,2012,610 x 610 mm | 24 x 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs16374t_771_0.jpg
Minos,2009,Diameter: 610 mm | 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs12909t_771_0.jpg
Ptolomea,2012,2743 x 1829 mm | 108 x 72 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs16803t_771_0.jpg
Cacus,2012,610 x 610 mm | 24 x 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs16821t_771_0.jpg
Antenora,2012,Diameter: 610 mm | 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs16822t_771_0.jpg
Judecca,2012,1829 x 1829 mm | 72 x 72 in,Entomological specimens and household gloss on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/dhs16426t_771_0.jpg
Tityus,2012,1524 x 1219 mm | 60 x 48 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/DHS11331t_771_0.jpg
Nessus,2009,610 x 610 mm | 24 x 24 in,Entomological specimens and Hammerite paint on canvas,Entomology Paintings,http://damienhirst.com/images/hirstimage/DHS12910t_771_0.jpg
Needle Eye,2012,1016 x 762 mm | 40 x 30 in,Scalpel blades and metallic paint on aluminium,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs12509t_771_0.jpg
Invading the City of Light,2011 - 2012,1829 x 1219 mm | 72 x 48 in,Scalpel blades and Hammerite paint on canvas,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs14042t_771_0.jpg
Whale Eye,2012,1829 x 1219 mm | 72 x 48 in,"Scalpel blades, Hammerite paint, metallic paint and household gloss on canvas",Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs14043t_771_0.jpg
Quartet,2012 - 2013,1524 x 762 mm | 60 x 30 in,Scalpel blades and Hammerite paint on canvas,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs16602t_771_0.jpg
Dwindling Hope,2012,1829 x 1219 mm | 72 x 48 in,"Scalpel blades, signwriting paint and metallic paint on canvas",Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs14040t_771_0.jpg
Thunder Dome,2012,1219 x 914 mm | 48 x 36 in,Scalpel blades and metallic paint on aluminium,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/DHS11327t_771_0.jpg
Concertina,2012,Diameter: 1219 mm | 48 in,Scalpel blades and Hammerite paint on canvas,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/DHS16603t_771_0.jpg
Needle Eye,2012,1016 x 762 mm | 40 x 30 in,Scalpel blades and metallic paint on aluminium,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs12509t_771_0.jpg
Katamaran,2012,1219 x 1219 mm | 48 x 48 in,Scalpel blades and Hammerite paint on canvas,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs16601t_771_0.jpg
Invading the City of Light,2011 - 2012,1829 x 1219 mm | 72 x 48 in,Scalpel blades and Hammerite paint on canvas,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs14042t_771_0.jpg
Whale Eye,2012,1829 x 1219 mm | 72 x 48 in,"Scalpel blades, Hammerite paint, metallic paint and household gloss on canvas",Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs14043t_771_0.jpg
Quartet,2012 - 2013,1524 x 762 mm | 60 x 30 in,Scalpel blades and Hammerite paint on canvas,Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dhs16602t_771_0.jpg
Dragon Slayer,2012,1829 x 1219 mm | 72 x 48 in,"Scalpel blades, signwriting paint and metallic paint on canvas",Scalpel Blade Paintings,http://damienhirst.com/images/hirstimage/dragon_1_771_0.jpg
Last Kingdom,2012,2432 x 2432 x 132 mm | 95.8 x 95.8 x 5.3 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16444straight_771_0.jpg
Devil’s Gate,2012,2432 x 2432 x 132 mm | 95.8 x 95.8 x 5.3 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16443straight_771_0.jpg
The Afterlife,2012,1209 x 1805 x 120 mm | 47.6 x 71.1 x 4.8 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16445straight_771_0.jpg
Lost Souls,2012,1209 x 1805 x 120 mm | 47.6 x 71.1 x 4.8 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16446straight_771_0.jpg
The Judged,2012,1834 x 2755 x 132 mm | 72.3 x 108.5 x 5.3 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16439straight_771_0.jpg
Heaven,2012,1834 x 2755 x 132 mm | 72.3 x 108.5 x 5.3 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16440straight_771_0.jpg
Children of the Corn,2012,565 x 713 x 89 mm | 22.3 x 28.1 x 3.5 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16451straight_771_0.jpg
Rite,2012,565 x 713 x 89 mm | 22.3 x 28.1 x 3.5 in,"Glass, stainless steel, steel, aluminium, nickel, Plastazote and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS16452straight_771_0.jpg
The Forgiveness,2008,2360 x 8700 x 123 mm | 92.9 x 342.5 x 4.9 in,"Glass, stainless steel, steel, aluminium, nickel, cork and entomological specimens",Entomology Cabinets,http://damienhirst.com/images/hirstimage/DHS9646full_771_0.jpg
"Primary, Secondary & Tertiary Colours: Concentric Spin",2012,Diameter: 914 mm | 36 in,Signwriting paint on canvas,Colour Charts,http://damienhirst.com/images/hirstimage/dhs16056t_771_0.jpg
"Monochromatic Sectors from Primary, Secondary & Tertiary Colour Ring, Light Centre",2012,Diameter: 2438 mm | 96 in,Signwriting paint on canvas,Colour Charts,http://damienhirst.com/images/hirstimage/DHS16057t_771_0.jpg
"Primary, Secondary & Tertiary Colours: Parallel Bands",2012,Diameter: 914 mm | 36 in,Signwriting paint on canvas,Colour Charts,http://damienhirst.com/images/hirstimage/dhs16060t_771_0.jpg
"Primary, Secondary & Tertiary Colours: Triangle>Hexagon>Circle",2012,,Signwriting paint on canvas,Colour Charts,http://damienhirst.com/images/hirstimage/dhs16062t_771_0.jpg
Basic Chromatic Entropy,2012,Diameter: 1219 mm | 48 in,Signwriting paint on canvas,Colour Charts,http://damienhirst.com/images/hirstimage/dhs16059t_771_0.jpg
"Monochromatic Sectors from Primary, Secondary & Tertiary Colour Ring, Dark Centre",2012,Diameter: 2438 mm | 96 in,Signwriting paint on canvas,Colour Charts,http://damienhirst.com/images/hirstimage/DHS16058t_771_0.jpg
Collective Memory (Loss),1994,"Two parts, each: 914 x 1829 x 762 mm | 36 x 72 x 30 in","Painted steel, formaldehyde containers, formaldehyde solution, water and padlocks",Vitrines,http://damienhirst.com/images/hirstimage/DHS4489r_771_0.jpg
As the Memories Fade,2008,1630 x 1520 x 1010 mm | 64.1 x 59.9 x 39.8 in,"Painted steel, formaldehyde containers, formaldehyde solution, water, gas mask, gloves, breathing filter set, hose and padlocks",Vitrines,http://damienhirst.com/images/hirstimage/DHS6658straight_771_0.jpg
Killing Time,2008,2134 x 3048 x 2134 mm | 84 x 120 x 84 in,"Glass, steel, Formica, MDF, chair, watch, water bottle and resin pills with dry transfers",Vitrines,http://damienhirst.com/images/hirstimage/DHS9013TimeToKillang_771_0.jpg
I'll Love You Forever,1994,1219 x 1219 x 762 mm | 48 x 48 x 30 in,"Painted steel, medical waste containers, gas mask and padlocks",Vitrines,http://damienhirst.com/images/hirstimage/DHS4497_771_0.jpg
I Still Love You,1994,1219 x 1219 x 762 mm | 48 x 48 x 30 in,"Painted steel, medical waste containers, gas mask, gloves and padlock",Vitrines,http://damienhirst.com/images/hirstimage/DHS4984r_771_0.jpg
Die,2008,1219 x 1219 x 1219 mm | 48 x 48 x 48 in,"Glass, steel, chair, ashtray, cigarettes and lighter",Vitrines,http://damienhirst.com/images/hirstimage/DHS5350_771_0.jpg
Waste,1994,1524 x 2134 x 1067 mm | 60 x 84 x 42 in,"Glass, steel, silicone rubber, wood and medical waste",Vitrines,http://damienhirst.com/images/hirstimage/DHS3642r_771_0.jpg
Looking Forward to the Total and Absolute Suppression of Pain,1999,3048 x 3048 x 3048 mm | 120 x 120 x 120 in ,"Glass, painted steel, silicone rubber, wood, mirrored glass, television monitors and video recorders",Vitrines,http://damienhirst.com/images/hirstimage/DHS24711_771_0.jpg
Figures in a Landscape,1998,2134 x 2134 x 2743 mm | 84 x 84 x 108 in,"Glass, steel, silicone rubber, wardrobe, lamp, clothes, air fresheners and packaging, refuse sacks and lipstick",Vitrines,http://damienhirst.com/images/hirstimage/DHS4962Cr_771_0.jpg
Contemplating a Self Portrait as a Pharmacist,1998,2438 x 2743 x 3048 mm | 96 x 108 x 120 in,"Glass, steel, wood, oil on canvas, lab coat, various artist's materials, tables, mirror, shoes, ashtray, lighter, cigarettes, ceramic jug, bowls, mug and toilet roll",Vitrines,http://damienhirst.com/images/hirstimage/DHS2478front_771_0.jpg
The Acquired Inability to Escape (Purified),2008,2135 x 3045 x 1980 mm | 84.1 x 119.9 x 78 in,"Glass, painted steel, silicone rubber, Formica, MDF, chair, ashtray, lighter and cigarettes",Vitrines,http://damienhirst.com/images/hirstimage/DHS6715_771_0.jpg
The Acquired Inability to Escape (Inverted),1993,2130  x 3050 x 2050 mm 83.9 x 120.1 x 80.7 in,"Glass, steel, silicone rubber, Formica, MDF, chair, ashtray, lighter and cigarettes",Vitrines,http://damienhirst.com/images/hirstimage/DHS3644_771_0.jpg
The Acquired Inability to Escape (Divided),1993,2134 x 3048 x 2134 mm | 84 x 120 x 84 in,"Glass, steel, silicone rubber, chair, ashtray, lighter and cigarettes",Vitrines,http://damienhirst.com/images/hirstimage/DHS3656install_771_0.jpg
The Collector,2003 - 2004,"Nine parts, vitrine: 2515 x 3960 x 3045 mm | 99 x 155.9 x 119.9 in | Paintings, two: 1219 x 1219 mm | 48 x 48 in | Two: 914 x 914 mm | 36 x 36 in | Two: 609 x 609 mm | 24 x 24 in | Two: 305 x 305 mm | 12 x 12 in ","Glass, painted steel, silicone rubber, aluminium, nylon netting, Formica, MDF, chair, animatronic man in laboratory wear, microscope, radiators, humidifiers, potted plants, flowers, live butterflies, butterfly specimens, cardboard and polystyrene specimen boxes, laboratory equipment, vases, bowls, sugar-water solution, fruit, plastic scourers, plastic cups, paperwork, pencils, pen, cocktail sticks, cotton buds, mug, ashtray, cigarette packet and cigarettes, anatomical model, broken glass bottles, pigs blood, shells, sand and butterflies and household gloss on canvas",Vitrines,http://damienhirst.com/images/hirstimage/DHS112SW_771_0.jpg
The Acquired Inability to Escape,1991,2134 x 3048 x 2134 mm | 84 x 120 x 84 in,"Glass, steel, silicone rubber, Formica, MDF, chair, ashtray, lighter and cigarettes",Internal Affairs,http://damienhirst.com/images/hirstimage/TheAquiredInabilityt_771_0.jpg
Death or Glory,2001,2134 x 2134 x 2134 mm | 84 x 84 x 84 in,"Glass, steel, aluminium, skull, rubber tubing, compressors, ping-pong balls, paper and ink",Mental Escapology,http://damienhirst.com/images/hirstimage/DHS372view1_771_0.jpg
Pets Bought at World of Pets,2012,1829 x 2743 mm | 72 x 108 in,Signwriting paint on canvas,Pie Charts,http://damienhirst.com/images/hirstimage/dhs12492t_771_0.jpg
Energy Uses,2011,914 x 1372 mm | 36 x 54 in,Signwriting paint on canvas,Pie Charts,http://damienhirst.com/images/hirstimage/dhs12527t_771_0.jpg
Usage by Country,2011,914 x 1372 mm | 36 x 54 in,Signwriting paint on canvas,Pie Charts,http://damienhirst.com/images/hirstimage/dhs12533t_771_0.jpg
Employment by Industry,2012,914 x 1372 mm | 36 x 54 in,Signwriting paint on canvas,Pie Charts,http://damienhirst.com/images/hirstimage/dhs12532t_771_0.jpg
Happy Fat Dappy Dappy,1993,1835 x 1530 mm | 72.2 x 60.2 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS16086t_771_0.jpg
Great Fun,1994 - 1995,1190 x 845 mm | 46.9 x 33.3 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs5279t_771_0.jpg
Funny,1993,711 x 559 mm | 28 x 22 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS4968t_771_0.jpg
Silly Fun,1993,1200 x 850 mm | 47.2 x 33.5 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS4192_c_771_0.jpg
Hot Fun,1993,850 x 610 mm | 33.5 x 24 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4177t_771_0.jpg
Super Happy Happy Dabby,1993,1524 x 2134 mm | 60 x 84 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs13226t_771_0.jpg
Great Fun,1994 - 1995,1190 x 845 mm | 46.9 x 33.3 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs5279t_771_0.jpg
Happy Happy,1993,"Diptych, each: 508 x 405 mm | 20 x 15.9 in",Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS4971noframenew_c_771_0.jpg
Jolly,1994,1190 x 845 mm | 46.9 x 33.3 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4997t_771_0.jpg
Joy Joy,1993,"Diptych, each: 508 x 406 mm | 20 x 16 in",Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4998t_771_0.jpg
Totally Happy,1994 - 1995,1190 x 845 mm | 46.9 x 33.3 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs5056t_771_0.jpg
Happy Fun,1994,1190 x 845 mm | 46.9 x 33.3 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4970t_771_0.jpg
"Fun, Fun, Fun",1994,1190 x 845 mm | 46.9 x 33.3 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4967t_771_0.jpg
"Fun, Fun",1993,"Diptych, each: 711 x 559 mm | 28 x 22 in",Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/DHS4965DamienHirstFu_771_0.jpg
Fun Fun Fun Fun,1994,850 x 610 mm | 33.5 x 24 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4181t_771_0.jpg
Fat Fun,1993,850 x 1200 mm | 33.5 x 47.3 ,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4190t_771_0.jpg
Some Fun,1993,850 x 610 mm | 33.5 x 24 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4183t_771_0.jpg
Zipedeedoodar,1993,610 x 850 mm | 24 x 33.5 in,Oil on canvas,Visual Candy Paintings,http://damienhirst.com/images/hirstimage/dhs4150t_771_0.jpg
Never Gonna See You Again,2008,,Oil on canvas,None,http://damienhirst.com/images/hirstimage/DHS11264framed_771_0.jpg
Love,1999 - 2003,Diameter: 1524 mm | 60 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs872t_771_0.jpg
Revelation,2007,Diameter: 914 mm | 36 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs7907t_771_0.jpg
Black Ritual,2008,559 x 711 mm | 22 x 28 in,Flies and resin on canvas,Fly Paintings and Sculptures,http://damienhirst.com/images/hirstimage/dhs9405t_771_0.jpg
Exaltant,2008,1219 x 1219 mm | 48 x 48 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs10888t_771_0.jpg
Leukocyte Peroxidase,2002,300 x 402 mm | 11.8 x 15.9 in | (Spot size variable),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs15542t_771_0.jpg
Second Series Biopsy: M132/244-Lung_cancer._scanning_electron _micrograph-SPL.jpg,2010,1591 x 1218 mm | 62.6 x 48 in,Inkjet print and household gloss on canvas with pins and glass,Biopsy Paintings,http://damienhirst.com/images/hirstimage/dhs12379t_771_0.jpg
Daptomycin,2010,1524 x 1930 mm | 60 x 76 in | (4 inch spot),Acrylic and solvent based spray paint on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs11216t_771_0.jpg
Forgotten Sorrows,2010,"Diptych, each: 560 x 612 x 82 mm | 22 x 24.1 x 3.3 in","Glass, gold plated stainless steel, steel, aluminium, nickel and cubic zirconia",Diamond Cabinets,http://damienhirst.com/images/hirstimage/DHS10960r_771_0.jpg
Beautiful Missiles and Rockets and Misery and General Bloody Destruction Painting,2007,1219 x 1219 mm | 48 x 48 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs8071t_771_0.jpg
Beautiful Missiles and Rockets and Misery and General Bloody Destruction Painting,2007,1219 x 1219 mm | 48 x 48 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs8071t_771_0.jpg
In Search of Oblivion,2007,1203 x 1803 x 102 mm | 47.4 x 71 x 4 in,"Glass, stainless steel, steel, aluminum, nickel, bismuth and cast resin, coloured plaster and painted pills with dry transfers",Pill Cabinets,http://damienhirst.com/images/hirstimage/DHS7500Straight_771_0.jpg
Beautiful Shimmering Shivering Explosion of Autumn Crackling Fireworks Painting,2008,1221 x 2441 mm | 48.1 x 96.1 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs7725t_771_0.jpg
Sulfochlorophenol,2007,1143 x 2362 mm | 45 x 93 in | (3 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs7418t_771_0.jpg
White Riot,1994 - 2008,"Diptych, each: 1370 x 1016 x 230 mm | 53.9 x 40 x 9 in","Glass, faced particleboard, ramin, plastic, aluminium and pharmaceutical packaging",Medicine Cabinets,http://damienhirst.com/images/hirstimage/DHS9276_771_0.jpg
Something Must Break,2008,1800 x 920 mm | 70.9 x 36.3 in,Acrylic and suture equipment,Suture Cabinets,http://damienhirst.com/images/hirstimage/DHS9402r_771_0.jpg
Hope,2003,2134 x 2134 mm | 84 x 84 in,Household gloss on canvas with butterflies,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs1498t_771_0.jpg
Borax,1996,25 x 64 mm | 1 x 2.5 in | (1 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs2058t_771_0.jpg
"Waiting for Inspiration, Red",1994,2210 x 2134 x 2134 mm | 87 x 84 x 84 in,"Glass, steel, silicone rubber, table, Insect-O-Cutor and oil paint and vaseline on canvas",Vitrines,http://damienhirst.com/images/hirstimage/DHS5094r2_771_0.jpg
Forgiveness,2004,Diameter: 2134 mm | 84 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs1574t_771_0.jpg
Blueberry Hill,2005,Diameter: 1829 mm | 72 in,"Butterflies, earth, glitter and household gloss on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs682t_771_0.jpg
"Waiting for Inspiration, Blue",1994,2210 x 2134 x 2134 mm | 87 x 84 x 84 in,"Glass, steel, silicone rubber, table, Insect-O-Cutor and oil paint and vaseline on canvas",Vitrines,http://damienhirst.com/images/hirstimage/DHS5093r2_771_0.jpg
"Beautiful Millions, Billions, Trillions and Eon after Eon Painting",2005,1981 x 2184 mm | 78 x 86 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs3801t_771_0.jpg
Minoxidil,2005,3200 x 3200 mm | 126 x 126 in | (18 inch spot),Household gloss on canvas,Spot Paintings,http://damienhirst.com/images/hirstimage/dhs4925t_771_0.jpg
Forgiveness,2004,Diameter: 2134 mm | 84 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs1574t_771_0.jpg
The Wrath of God,2005,1980 x 2740 x 914 mm | 78 x 107.9 x 36 in,"Acrylic, shark and formaldehyde solution with painted steel plinth",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS5333r_771_0.jpg
Love Will Always Tear Us Apart,2005,Diameter: 2134 mm | 84 in,"Butterflies, knives, blades and household gloss on canvas",Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs5377t_771_0.jpg
"Waiting for Inspiration, Blue",1994,2210 x 2134 x 2134 mm | 87 x 84 x 84 in,"Glass, steel, silicone rubber, table, Insect-O-Cutor and oil paint and vaseline on canvas",Vitrines,http://damienhirst.com/images/hirstimage/DHS5093r2_771_0.jpg
Baby it’s You,2005,1219 x 762 mm | 48 x 30 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs2410t_771_0.jpg
Tulips,2006,"Seven panels, each: 2743 x 1829 mm | 108 x 72 in",Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs6757t_771_0.jpg
Disintegration – The Crown of Life,2006,2803 x 1830 mm | 110.4 x 72 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs5750t_771_0.jpg
Untitled,2001,2140 x 2140 mm | 84.3 x 84.3 in,Butterflies and household gloss on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs326t_771_0.jpg
Beautiful green slash painting,2002,Diameter: 2134 mm | 84 in,Household gloss on canvas,Spin Paintings,http://damienhirst.com/images/hirstimage/dhs0654t_771_0.jpg
Time of Argos,2008,1219 x 1219 mm | 48 x 48 in,Butterflies and enamel paint on canvas,Butterfly Colour Paintings,http://damienhirst.com/images/hirstimage/dhs9693t_771_0.jpg
Confession,2008,1050 x 2300 mm | 41.4 x 90.5 in,Butterflies and household gloss on canvas,Kaleidoscope Paintings,http://damienhirst.com/images/hirstimage/dhs8351t_771_0.jpg
Time to Kill,2008,2134 x 3048 x 2134 mm | 84 x 120 x 84 in,"Glass, steel, silicone rubber, Formica, MDF, chair, resin, mineral water, plastic, paracetamol tablets, Blackberry, clock and bronze iguana",Vitrines,http://damienhirst.com/images/hirstimage/DHS9012_771_0.jpg
Pigs Might Fly,2008,803 x 498 x 435 mm | 31.6 x 19.6 x 17.1 in,"Glass, gold plated stainless steel, resin, monofilament, silver, piglet, dove's wings and formaldehyde solution",Formaldehyde,http://damienhirst.com/images/hirstimage/DHS8528front_771_0.jpg
