year,acs_ind_name,acs_ind,geo_name,geo,num_emp,num_emp_moe,num_emp_rca
2016.0,"Construction","0100","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",24735.0,3018.73,0.942901
2016.0,"Manufacturing","020x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",76038.0,4793.97,1.90556
2016.0,"Wholesale trade","030x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",11980.0,1626.17,1.07135
2016.0,"Retail trade","040x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",49169.0,4026.47,1.03864
2016.0,"Transportation & Warehousing","0500","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",13208.0,2199.25,0.721173
2016.0,"Utilities","0501","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",4470.0,1290.31,1.39775
2016.0,"Information","060x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",5561.0,1061.57,0.624143
2016.0,"Finance & Insurance","0700","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",14554.0,1746.39,0.733148
2016.0,"Real Estate, Rental & Leasing","0701","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",6989.0,1462.4,0.819208
2016.0,"Professional, Scientific, Tech Services","0800","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",28972.0,2790.65,0.944781
2016.0,"Management of Companies & Enterprises","0801","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",79.0,231.21,0.167259
2016.0,"Admin., Support, Waste Management Services","0802","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",16508.0,2245.16,0.898195
2016.0,"Educational Services","0900","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",38030.0,2919.51,1.00494
2016.0,"Healthcare & Social Assistance","0901","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",50424.0,3418.34,0.880924
2016.0,"Arts, Entertainment, Recreation","1000","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",5976.0,1138.89,0.644008
2016.0,"Accommodation & Food Service","1001","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",31050.0,3285.46,0.969028
2016.0,"Other services, except public administration","110x","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",22097.0,2595.67,1.07488
2016.0,"Public Admin.","1200","Greenville-Anderson-Mauldin, SC Metro Area","31000US24860",9388.0,1688.17,0.496879
